,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,7.01,7.09,7.05,7.04,256647.394058,1806797.6541683201,2022-05-03 14:00:00
1,1651582800,6.96,7.07,7.05,7.04,16634.909299,117109.76146496,2022-05-03 13:00:00
2,1651579200,7.05,7.13,7.13,7.06,6290.685614,44412.240434839994,2022-05-03 12:00:00
3,1651575600,6.97,7.12,6.98,7.12,17087.897352,121665.82914624001,2022-05-03 11:00:00
4,1651572000,6.97,7.02,7.01,6.98,7488.712329,52271.21205642,2022-05-03 10:00:00
5,1651568400,7.0,7.06,7.05,7.01,5341.620852,37444.76217252,2022-05-03 09:00:00
6,1651564800,7.05,7.11,7.08,7.05,10528.471823,74225.72635215,2022-05-03 08:00:00
7,1651561200,7.04,7.09,7.06,7.09,7217.759312,51173.91352208,2022-05-03 07:00:00
8,1651557600,7.03,7.12,7.12,7.07,10856.753161,76757.24484827001,2022-05-03 06:00:00
9,1651554000,6.99,7.13,7.07,7.12,11825.122668,84194.87339616001,2022-05-03 05:00:00
10,1651550400,7.0,7.08,7.03,7.06,5263.176047,37158.02289182,2022-05-03 04:00:00
11,1651546800,6.95,7.06,6.95,7.02,12125.725194,85122.59086188,2022-05-03 03:00:00
12,1651543200,6.91,7.04,6.99,6.96,19575.921432,136248.41316671998,2022-05-03 02:00:00
13,1651539600,6.86,6.98,6.88,6.98,6552.163979,45734.10457342,2022-05-03 01:00:00
14,1651536000,6.86,6.95,6.94,6.87,12885.369991,88522.49183817,2022-05-03 00:00:00
15,1651532400,6.92,7.0,6.94,6.94,29132.531845,202179.7710043,2022-05-02 23:00:00
16,1651528800,6.92,7.02,6.92,6.95,32552.892049,226242.59974054998,2022-05-02 22:00:00
17,1651525200,6.77,6.92,6.78,6.92,6559.311765,45390.437413800006,2022-05-02 21:00:00
18,1651521600,6.77,6.84,6.83,6.77,10409.372403,70471.45116830998,2022-05-02 20:00:00
19,1651518000,6.71,6.84,6.73,6.82,10566.817846,72065.69770972,2022-05-02 19:00:00
20,1651514400,6.64,6.75,6.7,6.73,23920.068168,160982.05877064003,2022-05-02 18:00:00
21,1651510800,6.66,6.84,6.83,6.71,35237.74737,236445.2848527,2022-05-02 17:00:00
22,1651507200,6.83,6.94,6.92,6.84,30038.928804,205466.27301936,2022-05-02 16:00:00
23,1651503600,6.9,6.99,6.92,6.92,13870.244035,95982.0887222,2022-05-02 15:00:00
24,1651500000,6.82,7.0,6.91,6.93,20870.681072,144633.81982896,2022-05-02 14:00:00
25,1651496400,6.7,6.95,6.75,6.92,28404.924864,196562.08005888,2022-05-02 13:00:00
26,1651492800,6.7,6.81,6.7,6.75,17699.199725,119469.59814374999,2022-05-02 12:00:00
27,1651489200,6.69,6.82,6.81,6.71,115413.36691,774423.6919661,2022-05-02 11:00:00
28,1651485600,6.78,6.86,6.82,6.8,7363.969544,50074.9928992,2022-05-02 10:00:00
29,1651482000,6.81,6.96,6.93,6.81,7063.663737,48103.55004897,2022-05-02 09:00:00
30,1651478400,6.9,7.01,6.99,6.92,12633.597942,87424.49775864,2022-05-02 08:00:00
31,1651474800,6.98,7.05,7.02,6.99,6110.671869,42713.59636431,2022-05-02 07:00:00
32,1651471200,7.02,7.12,7.09,7.02,6478.528593,45479.27072286,2022-05-02 06:00:00
33,1651467600,7.04,7.11,7.1,7.1,7505.369989,53288.126921899995,2022-05-02 05:00:00
34,1651464000,6.99,7.1,7.0,7.1,17259.459997,122542.16597870001,2022-05-02 04:00:00
35,1651460400,7.0,7.07,7.06,7.0,7460.599689,52224.197822999995,2022-05-02 03:00:00
36,1651456800,7.01,7.06,7.04,7.06,10474.294703,73948.52060317999,2022-05-02 02:00:00
37,1651453200,7.03,7.18,7.15,7.03,9529.653627,66993.46499781,2022-05-02 01:00:00
38,1651449600,7.08,7.19,7.12,7.15,16078.805873,114963.46199195,2022-05-02 00:00:00
39,1651446000,6.99,7.15,7.0,7.12,20263.610768,144276.90866816,2022-05-01 23:00:00
40,1651442400,6.99,7.08,7.02,7.0,13445.134067,94115.938469,2022-05-01 22:00:00
41,1651438800,6.97,7.08,7.07,7.02,10108.030591,70958.37474882,2022-05-01 21:00:00
42,1651435200,6.9,7.08,6.93,7.06,8987.410316,63451.116830959996,2022-05-01 20:00:00
43,1651431600,6.83,6.96,6.92,6.94,36900.175907,256087.22079458,2022-05-01 19:00:00
44,1651428000,6.92,7.1,7.1,6.92,21198.303313,146692.25892596,2022-05-01 18:00:00
45,1651424400,7.1,7.21,7.19,7.1,9813.868504,69678.4663784,2022-05-01 17:00:00
46,1651420800,7.15,7.24,7.18,7.18,25976.831932,186513.65327176,2022-05-01 16:00:00
47,1651417200,6.93,7.22,6.94,7.18,23402.143453,168027.38999254,2022-05-01 15:00:00
48,1651413600,6.93,7.01,6.95,6.94,15339.33548,106454.9882312,2022-05-01 14:00:00
49,1651410000,6.92,7.02,6.95,6.95,18803.133481,130681.77769295001,2022-05-01 13:00:00
50,1651406400,6.88,7.04,6.92,6.94,126508.431197,877968.51250718,2022-05-01 12:00:00
51,1651402800,6.9,6.98,6.97,6.91,28215.254308,194967.40726828,2022-05-01 11:00:00
52,1651399200,6.92,6.98,6.92,6.97,6716.461917,46813.739561489994,2022-05-01 10:00:00
53,1651395600,6.88,6.98,6.97,6.91,9046.828003,62513.581500730004,2022-05-01 09:00:00
54,1651392000,6.85,6.98,6.86,6.97,10783.297965,75159.58681605,2022-05-01 08:00:00
55,1651388400,6.85,6.89,6.89,6.86,9040.832477,62020.11079222,2022-05-01 07:00:00
56,1651384800,6.87,6.96,6.92,6.88,14490.09108,99691.8266304,2022-05-01 06:00:00
57,1651381200,6.76,6.93,6.77,6.91,19630.715498,135648.24409118,2022-05-01 05:00:00
58,1651377600,6.74,6.83,6.82,6.77,17604.340146,119181.38278841999,2022-05-01 04:00:00
59,1651374000,6.76,6.84,6.78,6.82,26871.799354,183265.67159428,2022-05-01 03:00:00
60,1651370400,6.76,6.86,6.8,6.78,39478.312641,267662.95970597997,2022-05-01 02:00:00
61,1651366800,6.57,6.83,6.73,6.81,50960.252818,347039.32169058,2022-05-01 01:00:00
62,1651363200,6.64,6.85,6.76,6.74,106123.425295,715271.8864882999,2022-05-01 00:00:00
63,1651359600,6.35,7.38,7.34,6.76,300265.828664,2029797.0017686398,2022-04-30 23:00:00
64,1651356000,7.34,7.52,7.52,7.35,24608.108373,180869.59654154998,2022-04-30 22:00:00
65,1651352400,7.43,7.61,7.43,7.53,22018.024338,165795.72326514,2022-04-30 21:00:00
66,1651348800,7.4,7.48,7.44,7.43,16244.938998,120699.89675514,2022-04-30 20:00:00
67,1651345200,7.37,7.46,7.38,7.44,20692.855087,153954.84184728,2022-04-30 19:00:00
68,1651341600,7.32,7.4,7.35,7.38,19060.199833,140664.27476754,2022-04-30 18:00:00
69,1651338000,7.33,7.51,7.5,7.36,35837.972088,263767.47456768004,2022-04-30 17:00:00
70,1651334400,7.5,7.6,7.56,7.51,11771.417084,88403.34230084,2022-04-30 16:00:00
71,1651330800,7.44,7.6,7.48,7.56,20579.193902,155578.70589912,2022-04-30 15:00:00
72,1651327200,7.47,7.68,7.65,7.47,25962.384916,193939.01532252,2022-04-30 14:00:00
73,1651323600,7.6,7.73,7.68,7.65,10087.326351,77168.04658515,2022-04-30 13:00:00
74,1651320000,7.68,7.74,7.7,7.69,7475.544983,57486.940919270004,2022-04-30 12:00:00
75,1651316400,7.67,7.72,7.67,7.7,5259.475195,40497.9590015,2022-04-30 11:00:00
76,1651312800,7.65,7.73,7.69,7.66,12386.248292,94878.66191672,2022-04-30 10:00:00
77,1651309200,7.64,7.69,7.67,7.69,6798.292594,52278.87004786,2022-04-30 09:00:00
78,1651305600,7.62,7.73,7.69,7.67,8166.203855,62634.78356785,2022-04-30 08:00:00
79,1651302000,7.69,7.76,7.76,7.7,3925.581053,30226.9741081,2022-04-30 07:00:00
80,1651298400,7.73,7.8,7.79,7.75,5552.395691,43031.066605249995,2022-04-30 06:00:00
81,1651294800,7.73,7.79,7.75,7.79,3703.435957,28849.76610503,2022-04-30 05:00:00
82,1651291200,7.71,7.76,7.73,7.74,7352.713878,56910.00541572,2022-04-30 04:00:00
83,1651287600,7.66,7.74,7.71,7.73,9967.526176,77048.97734047999,2022-04-30 03:00:00
84,1651284000,7.69,7.78,7.75,7.7,7143.284881,55003.2935837,2022-04-30 02:00:00
85,1651280400,7.67,7.75,7.7,7.75,5197.958282,40284.176685499995,2022-04-30 01:00:00
86,1651276800,7.6,7.7,7.62,7.69,7862.043297,60459.11295393,2022-04-30 00:00:00
87,1651273200,7.59,7.64,7.61,7.61,15404.614713,117229.11796593001,2022-04-29 23:00:00
88,1651269600,7.51,7.63,7.59,7.62,13919.73451,106068.3769662,2022-04-29 22:00:00
89,1651266000,7.56,7.64,7.56,7.59,15316.084817,116249.08376103001,2022-04-29 21:00:00
90,1651262400,7.53,7.61,7.58,7.57,28348.397323,214597.36773511002,2022-04-29 20:00:00
91,1651258800,7.51,7.76,7.72,7.57,82235.084738,622519.59146666,2022-04-29 19:00:00
92,1651255200,7.7,7.85,7.84,7.74,38338.470549,296739.76204925997,2022-04-29 18:00:00
93,1651251600,7.81,7.9,7.81,7.84,23410.960625,183541.9313,2022-04-29 17:00:00
94,1651248000,7.76,7.9,7.88,7.81,23751.790783,185501.48601522998,2022-04-29 16:00:00
95,1651244400,7.85,7.94,7.92,7.89,30770.828246,242781.83486094,2022-04-29 15:00:00
0,1651240800,7.86,8.02,7.99,7.93,25853.312684,205016.76958412,2022-04-29 14:00:00
1,1651237200,7.92,8.02,7.94,7.99,15771.215083,126012.00851317,2022-04-29 13:00:00
2,1651233600,7.85,8.01,7.88,7.94,16637.229531,132099.60247614002,2022-04-29 12:00:00
3,1651230000,7.82,7.91,7.9,7.87,18482.753649,145459.27121762998,2022-04-29 11:00:00
4,1651226400,7.82,8.06,8.03,7.9,23668.697327,186982.70888330002,2022-04-29 10:00:00
5,1651222800,8.02,8.11,8.08,8.02,23924.888432,191877.60522464,2022-04-29 09:00:00
6,1651219200,8.08,8.18,8.16,8.09,18646.048259,150846.53041531,2022-04-29 08:00:00
7,1651215600,8.15,8.2,8.18,8.17,7310.148448,59723.912820159996,2022-04-29 07:00:00
8,1651212000,8.09,8.18,8.14,8.18,4707.285766,38505.59756588,2022-04-29 06:00:00
9,1651208400,8.13,8.21,8.17,8.14,5950.13496,48434.098574400006,2022-04-29 05:00:00
10,1651204800,8.06,8.18,8.09,8.17,17660.270856,144284.41289352,2022-04-29 04:00:00
11,1651201200,8.05,8.11,8.08,8.1,8130.160166,65854.2973446,2022-04-29 03:00:00
12,1651197600,8.04,8.19,8.18,8.09,5892.233678,47668.170455019994,2022-04-29 02:00:00
13,1651194000,8.14,8.23,8.22,8.18,8988.397593,73525.09231074,2022-04-29 01:00:00
14,1651190400,8.15,8.22,8.17,8.21,11749.630844,96464.46922924,2022-04-29 00:00:00
15,1651186800,8.09,8.19,8.13,8.17,19211.338658,156956.63683586,2022-04-28 23:00:00
16,1651183200,8.08,8.16,8.15,8.13,12194.526664,99141.50177832002,2022-04-28 22:00:00
17,1651179600,8.12,8.23,8.21,8.15,11031.433672,89906.1844268,2022-04-28 21:00:00
18,1651176000,8.17,8.25,8.25,8.22,9447.714449,77660.21277078,2022-04-28 20:00:00
