,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,0.04228,0.04349,0.04253,0.04349,304788,13255.23012,2022-05-03 14:00:00
1,1651582800,0.04216,0.04268,0.04229,0.04256,176400,7507.584,2022-05-03 13:00:00
2,1651579200,0.0422,0.04274,0.04271,0.04224,281364,11884.81536,2022-05-03 12:00:00
3,1651575600,0.04231,0.04292,0.04259,0.04271,201696,8614.43616,2022-05-03 11:00:00
4,1651572000,0.04252,0.04415,0.04388,0.0429,531359,22795.3011,2022-05-03 10:00:00
5,1651568400,0.04332,0.04463,0.04339,0.04388,289237,12691.719560000001,2022-05-03 09:00:00
6,1651564800,0.04339,0.04359,0.04359,0.04344,13784,598.77696,2022-05-03 08:00:00
7,1651561200,0.04307,0.04388,0.04388,0.04356,403963,17596.62828,2022-05-03 07:00:00
8,1651557600,0.04343,0.04488,0.04371,0.04388,469601,20606.09188,2022-05-03 06:00:00
9,1651554000,0.0429,0.04371,0.04334,0.04371,503583,22011.61293,2022-05-03 05:00:00
10,1651550400,0.04301,0.04364,0.04326,0.04342,378380,16429.2596,2022-05-03 04:00:00
11,1651546800,0.04295,0.04559,0.04497,0.04354,1554899,67700.30246,2022-05-03 03:00:00
12,1651543200,0.04492,0.04558,0.04521,0.04497,110943,4989.10671,2022-05-03 02:00:00
13,1651539600,0.04482,0.04725,0.04661,0.04558,1311019,59756.246020000006,2022-05-03 01:00:00
14,1651536000,0.04601,0.04845,0.0474,0.04668,1147810,53579.7708,2022-05-03 00:00:00
15,1651532400,0.0461,0.04894,0.04878,0.04739,1587939,75252.42921,2022-05-02 23:00:00
16,1651528800,0.04554,0.0515,0.0461,0.0492,2698861,132783.9612,2022-05-02 22:00:00
17,1651525200,0.04448,0.04734,0.04498,0.04632,1827150,84633.588,2022-05-02 21:00:00
18,1651521600,0.04391,0.045,0.04407,0.045,211477,9516.465,2022-05-02 20:00:00
19,1651518000,0.0438,0.04517,0.04488,0.04431,586213,25975.09803,2022-05-02 19:00:00
20,1651514400,0.04422,0.04677,0.04455,0.04534,1499392,67982.43328,2022-05-02 18:00:00
21,1651510800,0.04378,0.04806,0.04406,0.04453,2843718,126630.76254,2022-05-02 17:00:00
22,1651507200,0.04365,0.04497,0.04429,0.04409,532326,23470.25334,2022-05-02 16:00:00
23,1651503600,0.04375,0.04612,0.046,0.04429,490601,21728.71829,2022-05-02 15:00:00
24,1651500000,0.04488,0.04612,0.04604,0.04566,1208983,55202.16378,2022-05-02 14:00:00
25,1651496400,0.04359,0.04612,0.04456,0.04581,597581,27375.185609999997,2022-05-02 13:00:00
26,1651492800,0.04333,0.04472,0.04349,0.0445,608569,27081.320499999998,2022-05-02 12:00:00
27,1651489200,0.04253,0.04413,0.04262,0.04349,259808,11299.04992,2022-05-02 11:00:00
28,1651485600,0.04259,0.04311,0.0428,0.04259,38857,1654.91963,2022-05-02 10:00:00
29,1651482000,0.04258,0.04305,0.04271,0.04274,76303,3261.19022,2022-05-02 09:00:00
30,1651478400,0.0422,0.04316,0.0431,0.04276,194222,8304.93272,2022-05-02 08:00:00
31,1651474800,0.04259,0.04341,0.04338,0.04288,208938,8959.26144,2022-05-02 07:00:00
32,1651471200,0.04323,0.04391,0.04357,0.0434,107466,4664.0244,2022-05-02 06:00:00
33,1651467600,0.04201,0.04361,0.04221,0.04361,262697,11456.216170000002,2022-05-02 05:00:00
34,1651464000,0.04198,0.04431,0.04396,0.04222,599504,25311.05888,2022-05-02 04:00:00
35,1651460400,0.04388,0.04493,0.04397,0.04429,289791,12834.84339,2022-05-02 03:00:00
36,1651456800,0.04253,0.04434,0.04303,0.04349,609621,26512.41729,2022-05-02 02:00:00
37,1651453200,0.04274,0.04475,0.04461,0.04303,1646684,70856.81251999999,2022-05-02 01:00:00
38,1651449600,0.04375,0.04657,0.0465,0.04464,858833,38338.30512,2022-05-02 00:00:00
39,1651446000,0.04478,0.04666,0.04498,0.04645,734586,34121.5197,2022-05-01 23:00:00
40,1651442400,0.04439,0.04625,0.0458,0.04498,812957,36566.80586,2022-05-01 22:00:00
41,1651438800,0.044,0.04781,0.044,0.04607,6813470,313896.5629,2022-05-01 21:00:00
42,1651435200,0.04153,0.044,0.04353,0.0438,1860872,81506.1936,2022-05-01 20:00:00
43,1651431600,0.04198,0.04443,0.04429,0.04378,2441058,106869.51924,2022-05-01 19:00:00
44,1651428000,0.04094,0.04445,0.04094,0.04397,1020866,44887.47802,2022-05-01 18:00:00
45,1651424400,0.04083,0.04221,0.04197,0.04097,625336,25620.015919999998,2022-05-01 17:00:00
46,1651420800,0.04153,0.04216,0.04201,0.042,227047,9535.974,2022-05-01 16:00:00
47,1651417200,0.04112,0.042,0.04144,0.042,210381,8836.002,2022-05-01 15:00:00
48,1651413600,0.04131,0.04145,0.04143,0.04144,30302,1255.71488,2022-05-01 14:00:00
49,1651410000,0.04143,0.04196,0.04188,0.04145,211363,8760.99635,2022-05-01 13:00:00
50,1651406400,0.04188,0.04278,0.04277,0.04191,110393,4626.57063,2022-05-01 12:00:00
51,1651402800,0.04258,0.04339,0.04259,0.04277,214127,9158.211790000001,2022-05-01 11:00:00
52,1651399200,0.04158,0.04289,0.04158,0.04255,227672,9687.443599999999,2022-05-01 10:00:00
53,1651395600,0.04124,0.04172,0.0416,0.04165,200323,8343.45295,2022-05-01 09:00:00
54,1651392000,0.04,0.04218,0.04,0.04143,640432,26533.09776,2022-05-01 08:00:00
55,1651388400,0.04,0.04078,0.04078,0.04,69949,2797.96,2022-05-01 07:00:00
56,1651384800,0.04078,0.04138,0.04136,0.04078,58276,2376.4952799999996,2022-05-01 06:00:00
57,1651381200,0.04115,0.04168,0.04168,0.04136,148993,6162.35048,2022-05-01 05:00:00
58,1651377600,0.04075,0.04186,0.04094,0.04171,286974,11969.685539999999,2022-05-01 04:00:00
59,1651374000,0.0404,0.04133,0.04043,0.04094,132917,5441.62198,2022-05-01 03:00:00
60,1651370400,0.03931,0.04086,0.03946,0.04086,124063,5069.21418,2022-05-01 02:00:00
61,1651366800,0.03909,0.04051,0.04017,0.03947,118999,4696.89053,2022-05-01 01:00:00
62,1651363200,0.039,0.04082,0.03995,0.04073,766058,31201.54234,2022-05-01 00:00:00
63,1651359600,0.03969,0.04091,0.04091,0.04018,304491,12234.44838,2022-04-30 23:00:00
64,1651356000,0.04086,0.04144,0.04144,0.04099,63609,2607.33291,2022-04-30 22:00:00
65,1651352400,0.04001,0.04152,0.0409,0.04148,363319,15070.47212,2022-04-30 21:00:00
66,1651348800,0.04006,0.04119,0.0409,0.04088,514768,21043.71584,2022-04-30 20:00:00
67,1651345200,0.04002,0.04195,0.04184,0.04116,805461,33152.77476,2022-04-30 19:00:00
68,1651341600,0.04127,0.04251,0.04245,0.04188,257408,10780.24704,2022-04-30 18:00:00
