,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,0.9998,0.9999,0.9999,0.9999,1485168.65,1485020.133135,2022-05-03 14:00:00
1,1651582800,0.9998,0.9999,0.9998,0.9998,2170464.34,2170030.247132,2022-05-03 13:00:00
2,1651579200,0.9998,0.9999,0.9998,0.9999,1073181.82,1073074.501818,2022-05-03 12:00:00
3,1651575600,0.9998,0.9999,0.9999,0.9999,1019702.07,1019600.0997929999,2022-05-03 11:00:00
4,1651572000,0.9998,0.9999,0.9999,0.9999,572618.77,572561.508123,2022-05-03 10:00:00
5,1651568400,0.9998,0.9999,0.9998,0.9998,576097.63,575982.410474,2022-05-03 09:00:00
6,1651564800,0.9998,0.9999,0.9999,0.9998,518371.31,518267.635738,2022-05-03 08:00:00
7,1651561200,0.9998,0.9999,0.9999,0.9998,557725.86,557614.314828,2022-05-03 07:00:00
8,1651557600,0.9998,0.9999,0.9999,0.9999,772390.91,772313.6709090001,2022-05-03 06:00:00
9,1651554000,0.9998,1.0,1.0,0.9998,1115597.99,1115374.870402,2022-05-03 05:00:00
10,1651550400,0.9998,1.0,0.9998,0.9999,2191763.46,2191544.283654,2022-05-03 04:00:00
11,1651546800,0.9998,0.9999,0.9999,0.9998,1086414.08,1086196.797184,2022-05-03 03:00:00
12,1651543200,0.9998,0.9999,0.9998,0.9999,1002767.15,1002666.873285,2022-05-03 02:00:00
13,1651539600,0.9998,0.9999,0.9999,0.9998,1289954.16,1289696.1691679999,2022-05-03 01:00:00
14,1651536000,0.9998,0.9999,0.9999,0.9999,1294001.43,1293872.0298569999,2022-05-03 00:00:00
15,1651532400,0.9998,0.9999,0.9999,0.9999,1715222.4,1715050.8777599998,2022-05-02 23:00:00
16,1651528800,0.9998,0.9999,0.9998,0.9998,1557301.21,1556989.749758,2022-05-02 22:00:00
17,1651525200,0.9998,1.0,0.9999,0.9998,2576583.98,2576068.663204,2022-05-02 21:00:00
18,1651521600,0.9998,1.0,0.9999,0.9999,5670158.16,5669591.144184,2022-05-02 20:00:00
19,1651518000,0.9998,0.9999,0.9998,0.9999,1857173.92,1856988.202608,2022-05-02 19:00:00
20,1651514400,0.9998,1.0,0.9999,0.9999,2267622.7,2267395.9377300004,2022-05-02 18:00:00
21,1651510800,0.9999,1.0,1.0,0.9999,3098218.07,3097908.248193,2022-05-02 17:00:00
22,1651507200,0.9999,1.0,0.9999,0.9999,2442076.43,2441832.222357,2022-05-02 16:00:00
23,1651503600,0.9999,1.0,0.9999,1.0,2127989.9,2127989.9,2022-05-02 15:00:00
24,1651500000,0.9999,1.0,1.0,0.9999,2148079.08,2147864.272092,2022-05-02 14:00:00
25,1651496400,0.9999,1.0,1.0,1.0,2513061.1,2513061.1,2022-05-02 13:00:00
26,1651492800,0.9999,1.0,0.9999,1.0,1150320.45,1150320.45,2022-05-02 12:00:00
27,1651489200,0.9999,1.0002,1.0002,0.9999,2443236.89,2442992.5663110004,2022-05-02 11:00:00
