,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,0.999,1.0,1.0,1.0,176751.43,176751.43,2022-05-03 14:00:00
1,1651582800,0.999,1.0,1.0,0.999,28398.05,28369.65195,2022-05-03 13:00:00
2,1651579200,0.999,1.0,1.0,0.999,18325.77,18307.44423,2022-05-03 12:00:00
3,1651575600,0.999,1.0,1.0,1.0,70526.1,70526.1,2022-05-03 11:00:00
4,1651572000,0.999,1.0,1.0,1.0,7221.2,7221.2,2022-05-03 10:00:00
5,1651568400,0.999,1.0,1.0,0.999,3907.7,3903.7922999999996,2022-05-03 09:00:00
6,1651564800,0.999,1.0,0.999,0.999,11566.27,11554.703730000001,2022-05-03 08:00:00
7,1651561200,0.999,1.0,1.0,0.999,6476.73,6470.253269999999,2022-05-03 07:00:00
8,1651557600,0.998,1.001,1.0,1.0,457691.43,457691.43,2022-05-03 06:00:00
9,1651554000,1.0,1.001,1.001,1.001,195476.19,195671.66619,2022-05-03 05:00:00
10,1651550400,1.0,1.001,1.0,1.0,208686.49,208686.49,2022-05-03 04:00:00
11,1651546800,1.0,1.001,1.0,1.001,10679.16,10689.83916,2022-05-03 03:00:00
12,1651543200,1.0,1.001,1.001,1.0,29932.02,29932.02,2022-05-03 02:00:00
13,1651539600,1.0,1.001,1.001,1.0,96237.07,96237.07,2022-05-03 01:00:00
14,1651536000,1.0,1.001,1.0,1.001,28783.61,28812.39361,2022-05-03 00:00:00
15,1651532400,1.0,1.001,1.001,1.0,50433.23,50433.23,2022-05-02 23:00:00
16,1651528800,1.0,1.001,1.0,1.001,170802.77,170973.57276999997,2022-05-02 22:00:00
17,1651525200,1.0,1.001,1.0,1.001,61035.35,61096.38534999999,2022-05-02 21:00:00
18,1651521600,1.0,1.001,1.0,1.001,55602.57,55658.172569999995,2022-05-02 20:00:00
19,1651518000,1.0,1.001,1.0,1.0,74125.57,74125.57,2022-05-02 19:00:00
20,1651514400,1.0,1.001,1.001,1.001,290873.78,291164.65378,2022-05-02 18:00:00
21,1651510800,1.0,1.001,1.0,1.0,266189.16,266189.16,2022-05-02 17:00:00
22,1651507200,1.0,1.001,1.001,1.0,156903.55,156903.55,2022-05-02 16:00:00
23,1651503600,1.0,1.001,1.0,1.0,54870.67,54870.67,2022-05-02 15:00:00
24,1651500000,1.0,1.001,1.0,1.001,764249.89,765014.1398899999,2022-05-02 14:00:00
25,1651496400,1.0,1.001,1.001,1.001,288848.6,289137.44859999995,2022-05-02 13:00:00
26,1651492800,1.0,1.001,1.0,1.0,447568.41,447568.41,2022-05-02 12:00:00
27,1651489200,1.0,1.001,1.001,1.0,103682.42,103682.42,2022-05-02 11:00:00
28,1651485600,1.0,1.001,1.0,1.0,39716.49,39716.49,2022-05-02 10:00:00
29,1651482000,1.0,1.001,1.001,1.001,16353.25,16369.603249999998,2022-05-02 09:00:00
30,1651478400,1.0,1.001,1.001,1.0,23392.09,23392.09,2022-05-02 08:00:00
31,1651474800,1.0,1.001,1.001,1.001,17486.69,17504.176689999997,2022-05-02 07:00:00
32,1651471200,1.0,1.001,1.001,1.001,615423.86,616039.28386,2022-05-02 06:00:00
33,1651467600,1.0,1.001,1.001,1.0,25490.1,25490.1,2022-05-02 05:00:00
34,1651464000,1.0,1.001,1.001,1.001,15000.01,15015.010009999998,2022-05-02 04:00:00
35,1651460400,1.0,1.001,1.0,1.0,54116.63,54116.63,2022-05-02 03:00:00
36,1651456800,1.0,1.001,1.0,1.001,12111.48,12123.59148,2022-05-02 02:00:00
37,1651453200,1.0,1.001,1.0,1.001,250263.42,250513.68342,2022-05-02 01:00:00
38,1651449600,1.0,1.001,1.001,1.001,688726.89,689415.61689,2022-05-02 00:00:00
39,1651446000,1.0,1.001,1.0,1.001,68492.89,68561.38289,2022-05-01 23:00:00
40,1651442400,1.0,1.001,1.0,1.001,55408.19,55463.59819,2022-05-01 22:00:00
41,1651438800,1.0,1.001,1.001,1.001,146086.63,146232.71662999998,2022-05-01 21:00:00
42,1651435200,1.0,1.001,1.001,1.0,50133.31,50133.31,2022-05-01 20:00:00
43,1651431600,1.0,1.001,1.0,1.0,47715.09,47715.09,2022-05-01 19:00:00
44,1651428000,1.0,1.001,1.0,1.0,67362.73,67362.73,2022-05-01 18:00:00
45,1651424400,1.0,1.001,1.001,1.001,410773.52,411184.29351999995,2022-05-01 17:00:00
46,1651420800,1.0,1.001,1.0,1.0,299859.63,299859.63,2022-05-01 16:00:00
47,1651417200,1.0,1.001,1.001,1.001,20238.86,20259.09886,2022-05-01 15:00:00
48,1651413600,1.0,1.001,1.001,1.001,766762.89,767529.6528899999,2022-05-01 14:00:00
49,1651410000,1.0,1.001,1.0,1.0,28015.22,28015.22,2022-05-01 13:00:00
50,1651406400,1.0,1.001,1.001,1.0,13047.69,13047.69,2022-05-01 12:00:00
51,1651402800,1.0,1.001,1.001,1.0,13036.96,13036.96,2022-05-01 11:00:00
52,1651399200,1.0,1.001,1.001,1.0,36920.41,36920.41,2022-05-01 10:00:00
53,1651395600,1.0,1.001,1.0,1.0,12115.26,12115.26,2022-05-01 09:00:00
54,1651392000,1.0,1.001,1.0,1.001,4028.66,4032.6886599999993,2022-05-01 08:00:00
55,1651388400,1.0,1.001,1.0,1.0,38547.41,38547.41,2022-05-01 07:00:00
56,1651384800,1.0,1.001,1.001,1.001,4350.77,4355.1207699999995,2022-05-01 06:00:00
57,1651381200,1.0,1.001,1.001,1.001,34986.85,35021.83684999999,2022-05-01 05:00:00
58,1651377600,1.0,1.001,1.001,1.001,91002.19,91093.19218999999,2022-05-01 04:00:00
59,1651374000,1.0,1.001,1.0,1.0,23363.77,23363.77,2022-05-01 03:00:00
60,1651370400,1.0,1.001,1.0,1.0,321775.23,321775.23,2022-05-01 02:00:00
61,1651366800,1.0,1.001,1.001,1.0,83459.36,83459.36,2022-05-01 01:00:00
62,1651363200,1.0,1.001,1.0,1.0,341395.33,341395.33,2022-05-01 00:00:00
63,1651359600,1.0,1.001,1.0,1.0,364758.92,364758.92,2022-04-30 23:00:00
64,1651356000,1.0,1.001,1.0,1.001,108747.15,108855.89714999998,2022-04-30 22:00:00
65,1651352400,1.0,1.001,1.0,1.0,52138.73,52138.73,2022-04-30 21:00:00
66,1651348800,1.0,1.001,1.0,1.001,25772.28,25798.052279999996,2022-04-30 20:00:00
67,1651345200,1.0,1.001,1.001,1.001,41094.59,41135.68458999999,2022-04-30 19:00:00
68,1651341600,1.0,1.001,1.0,1.0,37281.63,37281.63,2022-04-30 18:00:00
69,1651338000,1.0,1.001,1.0,1.001,176732.47,176909.20247,2022-04-30 17:00:00
70,1651334400,1.0,1.001,1.0,1.0,49659.37,49659.37,2022-04-30 16:00:00
71,1651330800,1.0,1.001,1.0,1.001,100130.76,100230.89075999998,2022-04-30 15:00:00
72,1651327200,1.0,1.001,1.001,1.0,126488.94,126488.94,2022-04-30 14:00:00
73,1651323600,1.0,1.001,1.001,1.0,72145.28,72145.28,2022-04-30 13:00:00
74,1651320000,1.0,1.001,1.0,1.001,44821.07,44865.89107,2022-04-30 12:00:00
75,1651316400,1.0,1.001,1.0,1.001,4038.61,4042.6486099999997,2022-04-30 11:00:00
76,1651312800,1.0,1.001,1.001,1.001,31629.32,31660.949319999996,2022-04-30 10:00:00
77,1651309200,1.0,1.001,1.001,1.0,7659.19,7659.19,2022-04-30 09:00:00
78,1651305600,1.0,1.001,1.0,1.0,29463.13,29463.13,2022-04-30 08:00:00
79,1651302000,1.0,1.001,1.001,1.0,8066.76,8066.76,2022-04-30 07:00:00
80,1651298400,1.0,1.001,1.001,1.0,127430.65,127430.65,2022-04-30 06:00:00
81,1651294800,1.0,1.001,1.0,1.001,64273.02,64337.29301999999,2022-04-30 05:00:00
82,1651291200,1.0,1.001,1.001,1.0,22323.49,22323.49,2022-04-30 04:00:00
83,1651287600,1.0,1.001,1.001,1.0,84954.05,84954.05,2022-04-30 03:00:00
84,1651284000,1.0,1.001,1.001,1.001,89244.91,89334.15491,2022-04-30 02:00:00
85,1651280400,1.0,1.001,1.001,1.0,12978.59,12978.59,2022-04-30 01:00:00
86,1651276800,1.0,1.001,1.001,1.0,115188.8,115188.8,2022-04-30 00:00:00
87,1651273200,1.0,1.001,1.001,1.0,24429.73,24429.73,2022-04-29 23:00:00
88,1651269600,1.0,1.001,1.001,1.0,257248.49,257248.49,2022-04-29 22:00:00
89,1651266000,1.0,1.001,1.001,1.0,43627.12,43627.12,2022-04-29 21:00:00
90,1651262400,1.0,1.001,1.0,1.0,129966.45,129966.45,2022-04-29 20:00:00
91,1651258800,1.0,1.001,1.0,1.001,188622.13,188810.75212999998,2022-04-29 19:00:00
