,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,1.11,1.12,1.118,1.113,18425.6,20507.692799999997,2022-05-03 14:00:00
1,1651582800,1.113,1.125,1.124,1.118,27347.31,30574.292580000005,2022-05-03 13:00:00
2,1651579200,1.12,1.128,1.123,1.126,5899.88,6643.26488,2022-05-03 12:00:00
3,1651575600,1.112,1.123,1.115,1.123,11565.75,12988.33725,2022-05-03 11:00:00
4,1651572000,1.112,1.122,1.119,1.116,10602.35,11832.222600000001,2022-05-03 10:00:00
5,1651568400,1.118,1.123,1.123,1.119,653.19,730.91961,2022-05-03 09:00:00
6,1651564800,1.119,1.125,1.124,1.123,5161.64,5796.521720000001,2022-05-03 08:00:00
7,1651561200,1.116,1.126,1.12,1.126,8287.47,9331.691219999999,2022-05-03 07:00:00
8,1651557600,1.117,1.122,1.122,1.118,4315.29,4824.4942200000005,2022-05-03 06:00:00
9,1651554000,1.113,1.124,1.124,1.123,26959.13,30275.10299,2022-05-03 05:00:00
10,1651550400,1.111,1.126,1.117,1.126,5781.53,6510.002779999999,2022-05-03 04:00:00
11,1651546800,1.101,1.125,1.106,1.119,37389.34,41838.67146,2022-05-03 03:00:00
12,1651543200,1.096,1.115,1.115,1.105,24734.97,27332.14185,2022-05-03 02:00:00
13,1651539600,1.1,1.114,1.109,1.114,23161.69,25802.12266,2022-05-03 01:00:00
14,1651536000,1.103,1.121,1.12,1.106,20071.09,22198.62554,2022-05-03 00:00:00
15,1651532400,1.111,1.127,1.113,1.116,7697.76,8590.70016,2022-05-02 23:00:00
16,1651528800,1.107,1.118,1.116,1.113,8269.36,9203.79768,2022-05-02 22:00:00
17,1651525200,1.102,1.115,1.106,1.112,31118.46,34603.72752,2022-05-02 21:00:00
18,1651521600,1.097,1.117,1.117,1.104,52088.63,57505.84752,2022-05-02 20:00:00
19,1651518000,1.102,1.118,1.107,1.118,41265.21,46134.50478,2022-05-02 19:00:00
20,1651514400,1.082,1.111,1.095,1.107,95878.85,106137.88695,2022-05-02 18:00:00
21,1651510800,1.088,1.111,1.11,1.095,66992.76,73357.0722,2022-05-02 17:00:00
22,1651507200,1.111,1.129,1.129,1.111,9280.42,10310.54662,2022-05-02 16:00:00
23,1651503600,1.13,1.142,1.138,1.13,9121.65,10307.464499999998,2022-05-02 15:00:00
24,1651500000,1.131,1.149,1.148,1.134,33791.73,38319.82182,2022-05-02 14:00:00
25,1651496400,1.126,1.154,1.138,1.148,50492.11,57964.942279999996,2022-05-02 13:00:00
26,1651492800,1.134,1.143,1.138,1.134,4616.25,5234.827499999999,2022-05-02 12:00:00
27,1651489200,1.135,1.15,1.147,1.138,10856.87,12355.11806,2022-05-02 11:00:00
28,1651485600,1.144,1.161,1.155,1.15,37581.32,43218.518,2022-05-02 10:00:00
29,1651482000,1.155,1.164,1.159,1.156,1205.65,1393.7314,2022-05-02 09:00:00
30,1651478400,1.158,1.168,1.167,1.161,1518.39,1762.8507900000002,2022-05-02 08:00:00
31,1651474800,1.163,1.173,1.172,1.166,5433.74,6335.7408399999995,2022-05-02 07:00:00
32,1651471200,1.17,1.181,1.179,1.171,8881.5,10400.2365,2022-05-02 06:00:00
33,1651467600,1.173,1.188,1.174,1.181,7115.51,8403.41731,2022-05-02 05:00:00
34,1651464000,1.151,1.183,1.154,1.174,21851.0,25653.073999999997,2022-05-02 04:00:00
35,1651460400,1.148,1.172,1.165,1.154,34052.19,39296.22726,2022-05-02 03:00:00
36,1651456800,1.151,1.176,1.153,1.168,24796.56,28962.38208,2022-05-02 02:00:00
37,1651453200,1.146,1.202,1.196,1.155,107488.51,124149.22905,2022-05-02 01:00:00
38,1651449600,1.169,1.228,1.182,1.19,118309.03,140787.7457,2022-05-02 00:00:00
39,1651446000,1.132,1.198,1.134,1.182,57298.17,67726.43694,2022-05-01 23:00:00
40,1651442400,1.129,1.142,1.13,1.133,14168.28,16052.661240000001,2022-05-01 22:00:00
41,1651438800,1.119,1.151,1.14,1.13,43700.21,49381.23729999999,2022-05-01 21:00:00
42,1651435200,1.114,1.139,1.132,1.139,23262.18,26495.62302,2022-05-01 20:00:00
43,1651431600,1.093,1.133,1.125,1.133,56177.13,63648.68829,2022-05-01 19:00:00
44,1651428000,1.118,1.139,1.137,1.125,36311.67,40850.628749999996,2022-05-01 18:00:00
45,1651424400,1.138,1.162,1.152,1.138,68110.53,77509.78313999998,2022-05-01 17:00:00
46,1651420800,1.116,1.166,1.124,1.154,105472.9,121715.72659999998,2022-05-01 16:00:00
47,1651417200,1.086,1.128,1.088,1.128,85547.52,96497.60256,2022-05-01 15:00:00
48,1651413600,1.076,1.096,1.088,1.089,131644.2,143360.5338,2022-05-01 14:00:00
49,1651410000,1.082,1.095,1.093,1.089,51066.67,55611.60363,2022-05-01 13:00:00
50,1651406400,1.085,1.098,1.095,1.092,24013.16,26222.370720000003,2022-05-01 12:00:00
51,1651402800,1.09,1.102,1.096,1.092,15511.46,16938.514320000002,2022-05-01 11:00:00
52,1651399200,1.093,1.102,1.095,1.096,20249.15,22193.068400000004,2022-05-01 10:00:00
53,1651395600,1.092,1.117,1.115,1.095,25201.05,27595.149749999997,2022-05-01 09:00:00
54,1651392000,1.105,1.115,1.108,1.115,24037.47,26801.77905,2022-05-01 08:00:00
