,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,83.16,84.12,83.63,83.29,4727.109,393720.90861000004,2022-05-03 14:00:00
1,1651582800,83.14,84.53,84.41,83.6,9725.673,813066.2628,2022-05-03 13:00:00
2,1651579200,84.39,85.24,85.14,84.39,1193.023,100679.21097,2022-05-03 12:00:00
3,1651575600,83.9,85.14,84.1,85.14,2108.815,179544.5091,2022-05-03 11:00:00
4,1651572000,83.94,84.56,84.07,84.09,2084.26,175265.42340000003,2022-05-03 10:00:00
5,1651568400,83.96,85.25,84.86,84.17,2492.73,209813.0841,2022-05-03 09:00:00
6,1651564800,84.86,85.55,85.08,84.93,1423.252,120876.79236,2022-05-03 08:00:00
7,1651561200,84.41,85.26,84.91,85.14,2556.757,217682.29098000002,2022-05-03 07:00:00
8,1651557600,84.27,85.07,84.61,84.92,1146.661,97374.45212,2022-05-03 06:00:00
9,1651554000,83.8,84.7,84.67,84.62,4860.788,411319.88055999996,2022-05-03 05:00:00
10,1651550400,84.32,85.08,84.87,84.64,3644.025,308430.276,2022-05-03 04:00:00
11,1651546800,84.67,85.41,84.85,84.87,5327.959,452183.88033,2022-05-03 03:00:00
12,1651543200,84.16,85.31,85.04,84.82,7166.362,607850.82484,2022-05-03 02:00:00
13,1651539600,83.78,85.82,84.03,85.02,7841.249,666662.98998,2022-05-03 01:00:00
14,1651536000,83.97,84.51,84.25,84.04,2277.719,191419.50476,2022-05-03 00:00:00
15,1651532400,84.21,84.77,84.32,84.24,2434.732,205101.82367999997,2022-05-02 23:00:00
16,1651528800,84.09,84.82,84.29,84.28,5074.142,427648.68776,2022-05-02 22:00:00
17,1651525200,82.71,84.42,83.0,84.18,8901.524,749330.29032,2022-05-02 21:00:00
18,1651521600,82.54,83.48,82.56,82.99,5785.203,480113.99697,2022-05-02 20:00:00
19,1651518000,81.0,82.72,81.25,82.48,6872.101,566810.89048,2022-05-02 19:00:00
20,1651514400,80.48,82.31,81.97,81.22,19572.237,1589657.08914,2022-05-02 18:00:00
21,1651510800,81.61,83.0,82.96,81.98,8689.351,712352.9949800001,2022-05-02 17:00:00
22,1651507200,82.78,83.94,83.23,83.05,4146.476,344364.8318,2022-05-02 16:00:00
23,1651503600,82.75,84.2,83.94,83.25,5585.714,465010.69049999997,2022-05-02 15:00:00
