,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,0.173329,0.1755,0.17497,0.173795,1525883,265190.835985,2022-05-03 14:00:00
1,1651582800,0.174161,0.175223,0.175088,0.174899,5015394,877187.395206,2022-05-03 13:00:00
2,1651579200,0.174628,0.177235,0.176998,0.175025,1338646,234296.51614999998,2022-05-03 12:00:00
3,1651575600,0.174934,0.177069,0.175314,0.176999,3105584,549685.262416,2022-05-03 11:00:00
4,1651572000,0.175178,0.176141,0.176099,0.175255,1282174,224707.40437,2022-05-03 10:00:00
5,1651568400,0.175914,0.176861,0.176333,0.176099,1758961,309751.273139,2022-05-03 09:00:00
6,1651564800,0.175958,0.176917,0.176002,0.176391,2413807,425773.830537,2022-05-03 08:00:00
7,1651561200,0.175359,0.176443,0.1755,0.176013,1454597,256027.981761,2022-05-03 07:00:00
8,1651557600,0.174648,0.176589,0.175479,0.175563,3942704,692192.942352,2022-05-03 06:00:00
9,1651554000,0.174451,0.175695,0.175178,0.175494,962975,168996.33465,2022-05-03 05:00:00
10,1651550400,0.174192,0.175436,0.174532,0.17524,1937444,339517.68656,2022-05-03 04:00:00
11,1651546800,0.17386,0.174963,0.174078,0.174532,1272643,222116.92807599998,2022-05-03 03:00:00
12,1651543200,0.173079,0.17492,0.174589,0.173987,1982627,344951.323849,2022-05-03 02:00:00
13,1651539600,0.172295,0.174568,0.172572,0.174463,1201421,209603.511923,2022-05-03 01:00:00
14,1651536000,0.172337,0.173689,0.173531,0.172625,1635100,282259.1375,2022-05-03 00:00:00
15,1651532400,0.173273,0.174346,0.173483,0.173499,1299120,225396.02088,2022-05-02 23:00:00
16,1651528800,0.173342,0.175,0.174469,0.173461,5702620,989182.16782,2022-05-02 22:00:00
17,1651525200,0.171837,0.1745,0.172054,0.1745,2274480,396896.75999999995,2022-05-02 21:00:00
18,1651521600,0.17169,0.173114,0.17306,0.172014,1357948,233586.06727200001,2022-05-02 20:00:00
19,1651518000,0.171422,0.173513,0.171708,0.173081,1852366,320609.359646,2022-05-02 19:00:00
20,1651514400,0.170264,0.172288,0.171861,0.171661,2891548,496366.021228,2022-05-02 18:00:00
21,1651510800,0.171245,0.173379,0.173206,0.171932,5767521,991621.420572,2022-05-02 17:00:00
22,1651507200,0.172858,0.174576,0.174378,0.173215,2184559,378398.387185,2022-05-02 16:00:00
23,1651503600,0.174215,0.175522,0.17509,0.174396,2173262,379008.199752,2022-05-02 15:00:00
24,1651500000,0.173486,0.176333,0.175116,0.17508,2328306,407639.81448000006,2022-05-02 14:00:00
25,1651496400,0.172366,0.175748,0.1733,0.175114,4237570,742057.83298,2022-05-02 13:00:00
26,1651492800,0.172842,0.174713,0.173083,0.173319,1495136,259135.476384,2022-05-02 12:00:00
27,1651489200,0.172778,0.174193,0.173995,0.173052,1564185,270685.34262,2022-05-02 11:00:00
