,unix,low,high,open,close,volume,vol_fiat,date
0,1611079200,0.3017,0.3054,0.3053,0.3023,1427176.179205,431435.3589736715,2021-01-19 18:00:00
1,1611075600,0.3025,0.3072,0.3056,0.3053,18578411.771436,5671989.113819411,2021-01-19 17:00:00
2,1611072000,0.3043,0.311,0.3083,0.3056,12626735.262361,3858730.2961775213,2021-01-19 16:00:00
3,1611068400,0.3015,0.3089,0.3032,0.3083,6833126.887818,2106653.0195142897,2021-01-19 15:00:00
4,1611064800,0.3024,0.3081,0.3076,0.3032,10020485.086654,3038211.078273493,2021-01-19 14:00:00
5,1611061200,0.3045,0.3098,0.3045,0.3076,6437352.466695,1980129.618755382,2021-01-19 13:00:00
6,1611057600,0.3012,0.3132,0.3023,0.3045,13260381.182938,4037786.070204621,2021-01-19 12:00:00
7,1611054000,0.2983,0.3035,0.3016,0.3023,4447687.224526,1344535.8479742098,2021-01-19 11:00:00
8,1611050400,0.2958,0.307,0.305,0.3018,3095444.0745,934205.0216841,2021-01-19 10:00:00
9,1611046800,0.3042,0.3101,0.3077,0.305,4369887.077862,1332815.55874791,2021-01-19 09:00:00
10,1611043200,0.3037,0.3111,0.307,0.3078,6203309.644276,1909378.7085081527,2021-01-19 08:00:00
11,1611039600,0.3015,0.3133,0.3108,0.3067,9423838.947697,2890291.40525867,2021-01-19 07:00:00
12,1611036000,0.3067,0.3298,0.3219,0.3108,27972778.470798,8693939.54872402,2021-01-19 06:00:00
13,1611032400,0.2904,0.3228,0.2908,0.3218,26338758.018599,8475812.330385158,2021-01-19 05:00:00
14,1611028800,0.2886,0.2931,0.2913,0.2907,11629652.931956,3380740.1073196097,2021-01-19 04:00:00
15,1611025200,0.2877,0.295,0.2891,0.2916,14348440.011163,4184005.107255131,2021-01-19 03:00:00
16,1611021600,0.2872,0.2912,0.2897,0.2891,12956628.878344,3745761.4087292505,2021-01-19 02:00:00
17,1611018000,0.2855,0.2928,0.2856,0.2897,15512102.088774,4493855.975117828,2021-01-19 01:00:00
18,1611014400,0.2841,0.2877,0.2856,0.2858,8296014.414247,2371000.9195917924,2021-01-19 00:00:00
19,1611010800,0.2828,0.2866,0.2837,0.2856,8297606.010108,2369796.2764868448,2021-01-18 23:00:00
20,1611007200,0.2821,0.284,0.2821,0.2837,6034811.760796,1712076.0965378254,2021-01-18 22:00:00
21,1611003600,0.2812,0.2831,0.2821,0.2821,6323926.561137,1783979.682896748,2021-01-18 21:00:00
22,1611000000,0.2809,0.2837,0.2818,0.282,7642647.731274,2155226.660219268,2021-01-18 20:00:00
23,1610996400,0.2788,0.283,0.2793,0.282,8748119.898927,2466969.8114974136,2021-01-18 19:00:00
24,1610992800,0.2786,0.2802,0.2792,0.2794,6553816.713171,1831136.3896599773,2021-01-18 18:00:00
25,1610989200,0.2778,0.2827,0.2822,0.2791,7075049.318174,1974646.2647023634,2021-01-18 17:00:00
26,1610985600,0.281,0.2867,0.2842,0.2821,6550049.956677,1847769.092778582,2021-01-18 16:00:00
27,1610982000,0.2828,0.2858,0.2844,0.2842,5274781.914919,1499093.0202199798,2021-01-18 15:00:00
28,1610978400,0.2816,0.2872,0.2847,0.2845,7373914.156711,2097878.5775842792,2021-01-18 14:00:00
29,1610974800,0.2841,0.2868,0.2855,0.2847,5929247.101147,1688056.6496965508,2021-01-18 13:00:00
30,1610971200,0.2839,0.289,0.2839,0.2855,8943800.550318,2553455.057115789,2021-01-18 12:00:00
31,1610967600,0.2802,0.2848,0.2831,0.284,4031277.48015,1144882.8043626,2021-01-18 11:00:00
32,1610964000,0.282,0.2885,0.288,0.2829,3239486.286694,916450.6705057325,2021-01-18 10:00:00
33,1610960400,0.2823,0.288,0.2832,0.288,4240995.553966,1221406.719542208,2021-01-18 09:00:00
34,1610956800,0.2772,0.285,0.2777,0.2829,5026230.366791,1421920.5707651738,2021-01-18 08:00:00
35,1610953200,0.2735,0.2785,0.2738,0.2777,4676965.537538,1298793.3297743027,2021-01-18 07:00:00
36,1610949600,0.2732,0.2752,0.2747,0.2737,2343595.172259,641441.9986472883,2021-01-18 06:00:00
37,1610946000,0.2726,0.2754,0.2734,0.2747,3998627.806865,1098423.0585458155,2021-01-18 05:00:00
38,1610942400,0.2722,0.2746,0.2731,0.2734,3829294.433469,1046929.0981104245,2021-01-18 04:00:00
39,1610938800,0.2714,0.2755,0.2749,0.273,6755332.191255,1844205.6882126152,2021-01-18 03:00:00
40,1610935200,0.2741,0.2784,0.278,0.2749,5262773.717376,1446736.4949066623,2021-01-18 02:00:00
41,1610931600,0.2753,0.2781,0.2775,0.278,5765332.140647,1602762.3350998661,2021-01-18 01:00:00
42,1610928000,0.2762,0.2788,0.2772,0.2776,5597310.75348,1553813.4651660481,2021-01-18 00:00:00
43,1610924400,0.2766,0.28,0.2779,0.2773,5324816.953859,1476571.7413051005,2021-01-17 23:00:00
44,1610920800,0.2775,0.2821,0.2806,0.278,5045761.266775,1402721.6321634501,2021-01-17 22:00:00
