,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,2.52,2.56,2.54,2.54,50033.02,127083.87079999999,2022-05-03 14:00:00
1,1651582800,2.52,2.56,2.54,2.55,92428.02,235691.451,2022-05-03 13:00:00
2,1651579200,2.53,2.59,2.59,2.55,111658.63,284729.5065,2022-05-03 12:00:00
3,1651575600,2.52,2.59,2.54,2.59,91470.88,236909.5792,2022-05-03 11:00:00
4,1651572000,2.52,2.56,2.55,2.53,70608.64,178639.85919999998,2022-05-03 10:00:00
5,1651568400,2.54,2.58,2.57,2.56,53994.97,138227.1232,2022-05-03 09:00:00
6,1651564800,2.56,2.58,2.57,2.56,33309.35,85271.936,2022-05-03 08:00:00
7,1651561200,2.55,2.57,2.56,2.57,30950.02,79541.5514,2022-05-03 07:00:00
8,1651557600,2.55,2.58,2.57,2.56,40807.32,104466.7392,2022-05-03 06:00:00
9,1651554000,2.51,2.57,2.54,2.57,58202.05,149579.2685,2022-05-03 05:00:00
10,1651550400,2.52,2.54,2.53,2.53,25945.1,65641.10299999999,2022-05-03 04:00:00
11,1651546800,2.5,2.54,2.51,2.54,55629.87,141299.86980000001,2022-05-03 03:00:00
12,1651543200,2.5,2.53,2.51,2.51,55865.29,140221.8779,2022-05-03 02:00:00
13,1651539600,2.47,2.51,2.49,2.51,107000.52,268571.3052,2022-05-03 01:00:00
14,1651536000,2.47,2.5,2.5,2.49,64333.05,160189.29450000002,2022-05-03 00:00:00
15,1651532400,2.48,2.52,2.49,2.5,63051.02,157627.55,2022-05-02 23:00:00
16,1651528800,2.48,2.51,2.49,2.49,91105.54,226852.7946,2022-05-02 22:00:00
17,1651525200,2.43,2.5,2.44,2.49,36107.53,89907.7497,2022-05-02 21:00:00
18,1651521600,2.44,2.48,2.47,2.44,85515.12,208656.89279999997,2022-05-02 20:00:00
19,1651518000,2.41,2.48,2.42,2.48,137769.36,341668.01279999997,2022-05-02 19:00:00
20,1651514400,2.39,2.43,2.42,2.42,179778.04,435062.8568,2022-05-02 18:00:00
21,1651510800,2.41,2.47,2.47,2.42,125313.12,303257.75039999996,2022-05-02 17:00:00
22,1651507200,2.46,2.49,2.48,2.47,81068.86,200240.0842,2022-05-02 16:00:00
23,1651503600,2.47,2.51,2.5,2.48,88818.62,220270.1776,2022-05-02 15:00:00
24,1651500000,2.48,2.52,2.5,2.49,233747.22,582030.5778000001,2022-05-02 14:00:00
25,1651496400,2.45,2.52,2.47,2.51,157450.65,395201.13149999996,2022-05-02 13:00:00
26,1651492800,2.45,2.5,2.47,2.48,107092.87,265590.3176,2022-05-02 12:00:00
27,1651489200,2.46,2.51,2.5,2.47,126094.74,311454.0078,2022-05-02 11:00:00
28,1651485600,2.49,2.52,2.52,2.5,140445.47,351113.675,2022-05-02 10:00:00
29,1651482000,2.51,2.56,2.54,2.53,52558.54,132973.10619999998,2022-05-02 09:00:00
30,1651478400,2.53,2.56,2.55,2.54,115894.83,294372.8682,2022-05-02 08:00:00
31,1651474800,2.55,2.58,2.57,2.56,37801.49,96771.8144,2022-05-02 07:00:00
32,1651471200,2.56,2.6,2.59,2.57,46227.48,118804.6236,2022-05-02 06:00:00
33,1651467600,2.56,2.61,2.61,2.59,102093.06,264421.0254,2022-05-02 05:00:00
34,1651464000,2.54,2.61,2.56,2.6,117659.5,305914.7,2022-05-02 04:00:00
35,1651460400,2.55,2.57,2.56,2.56,34589.4,88548.864,2022-05-02 03:00:00
36,1651456800,2.54,2.56,2.56,2.56,43732.8,111955.96800000001,2022-05-02 02:00:00
37,1651453200,2.55,2.6,2.59,2.55,73703.88,187944.894,2022-05-02 01:00:00
38,1651449600,2.56,2.61,2.57,2.59,140739.15,364514.39849999995,2022-05-02 00:00:00
39,1651446000,2.52,2.59,2.53,2.56,70903.79,181513.70239999998,2022-05-01 23:00:00
40,1651442400,2.53,2.57,2.54,2.54,51874.78,131761.9412,2022-05-01 22:00:00
41,1651438800,2.51,2.55,2.54,2.54,36593.27,92946.9058,2022-05-01 21:00:00
42,1651435200,2.49,2.55,2.51,2.55,55237.04,140854.452,2022-05-01 20:00:00
43,1651431600,2.5,2.54,2.51,2.52,58053.34,146294.4168,2022-05-01 19:00:00
44,1651428000,2.52,2.58,2.58,2.52,74884.97,188710.1244,2022-05-01 18:00:00
45,1651424400,2.57,2.61,2.6,2.58,85749.43,221233.5294,2022-05-01 17:00:00
46,1651420800,2.56,2.61,2.56,2.6,150937.76,392438.17600000004,2022-05-01 16:00:00
47,1651417200,2.49,2.58,2.49,2.57,81193.47,208667.2179,2022-05-01 15:00:00
48,1651413600,2.48,2.51,2.5,2.48,50866.94,126150.01120000001,2022-05-01 14:00:00
49,1651410000,2.48,2.51,2.5,2.5,118490.34,296225.85,2022-05-01 13:00:00
50,1651406400,2.47,2.51,2.49,2.5,58159.38,145398.44999999998,2022-05-01 12:00:00
51,1651402800,2.48,2.52,2.52,2.49,67208.38,167348.86620000002,2022-05-01 11:00:00
52,1651399200,2.5,2.53,2.52,2.51,41892.51,105150.2001,2022-05-01 10:00:00
53,1651395600,2.5,2.57,2.57,2.52,113813.83,286810.8516,2022-05-01 09:00:00
54,1651392000,2.54,2.58,2.55,2.56,58467.23,149676.10880000002,2022-05-01 08:00:00
55,1651388400,2.54,2.58,2.56,2.54,25679.02,65224.7108,2022-05-01 07:00:00
56,1651384800,2.55,2.6,2.57,2.56,45772.38,117177.2928,2022-05-01 06:00:00
57,1651381200,2.53,2.59,2.54,2.57,51143.95,131439.9515,2022-05-01 05:00:00
58,1651377600,2.52,2.55,2.54,2.53,37330.58,94446.3674,2022-05-01 04:00:00
59,1651374000,2.51,2.55,2.52,2.54,34617.38,87928.1452,2022-05-01 03:00:00
60,1651370400,2.51,2.55,2.53,2.52,53144.03,133922.9556,2022-05-01 02:00:00
61,1651366800,2.47,2.54,2.52,2.54,87326.71,221809.8434,2022-05-01 01:00:00
62,1651363200,2.5,2.55,2.54,2.53,185480.72,469266.2216,2022-05-01 00:00:00
63,1651359600,2.44,2.61,2.59,2.53,570923.04,1444435.2912,2022-04-30 23:00:00
64,1651356000,2.59,2.65,2.65,2.6,166360.61,432537.58599999995,2022-04-30 22:00:00
65,1651352400,2.64,2.67,2.66,2.65,46598.54,123486.131,2022-04-30 21:00:00
66,1651348800,2.64,2.68,2.67,2.65,60664.52,160760.97799999997,2022-04-30 20:00:00
67,1651345200,2.63,2.67,2.64,2.67,45261.19,120847.37730000001,2022-04-30 19:00:00
68,1651341600,2.62,2.67,2.65,2.64,104040.87,274667.8968,2022-04-30 18:00:00
69,1651338000,2.62,2.7,2.7,2.65,144774.86,383653.37899999996,2022-04-30 17:00:00
70,1651334400,2.69,2.73,2.71,2.7,70988.76,191669.652,2022-04-30 16:00:00
71,1651330800,2.67,2.75,2.68,2.71,136337.34,369474.1914,2022-04-30 15:00:00
72,1651327200,2.68,2.75,2.73,2.68,103429.58,277191.2744,2022-04-30 14:00:00
