,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,1438.06,1447.69,1447.69,1438.4,0.11462044,164.870040896,2022-05-03 14:00:00
1,1651582800,1434.46,1454.17,1450.85,1447.08,6.2999759,9116.569125372,2022-05-03 13:00:00
2,1651579200,1448.56,1465.58,1463.52,1448.56,2.34140988,3391.6726957728,2022-05-03 12:00:00
3,1651575600,1443.0,1463.53,1447.03,1463.53,2.59463535,3797.3266737854997,2022-05-03 11:00:00
4,1651572000,1441.92,1461.02,1457.53,1447.71,9.18875711,13302.6555557181,2022-05-03 10:00:00
5,1651568400,1459.35,1466.35,1461.5,1462.92,3.6056793,5274.820361556,2022-05-03 09:00:00
6,1651564800,1461.45,1465.88,1464.19,1465.16,0.11179555,163.798368038,2022-05-03 08:00:00
7,1651561200,1460.57,1470.39,1470.39,1464.12,1.81288952,2654.2878040223995,2022-05-03 07:00:00
8,1651557600,1464.61,1475.75,1473.17,1464.61,0.50030474,732.7513252514,2022-05-03 06:00:00
9,1651554000,1466.72,1478.85,1478.85,1473.17,0.26455301,389.7315577417,2022-05-03 05:00:00
10,1651550400,1468.88,1477.93,1472.25,1475.49,2.29399149,3384.7615035800995,2022-05-03 04:00:00
11,1651546800,1465.48,1475.1,1465.48,1474.22,1.37225769,2023.0097317518002,2022-05-03 03:00:00
12,1651543200,1460.28,1472.76,1472.76,1465.18,0.57480654,842.1950462772,2022-05-03 02:00:00
13,1651539600,1456.32,1473.52,1456.32,1473.52,0.0788908,116.24717161599999,2022-05-03 01:00:00
14,1651536000,1455.39,1465.24,1464.21,1455.39,10.45165298,15211.231230562202,2022-05-03 00:00:00
15,1651532400,1461.32,1475.5,1465.85,1462.53,15.21220901,22248.3120433953,2022-05-02 23:00:00
16,1651528800,1467.33,1490.19,1490.19,1467.33,0.25896108,379.9813615164,2022-05-02 22:00:00
17,1651525200,1459.7,1479.9,1459.7,1477.52,3.07825859,4548.1886318968,2022-05-02 21:00:00
18,1651521600,1462.21,1475.41,1475.3,1462.22,0.04864483,71.1294433226,2022-05-02 20:00:00
19,1651518000,1457.32,1478.61,1457.32,1478.61,2.30738358,3411.7204352238,2022-05-02 19:00:00
20,1651514400,1448.46,1462.19,1459.98,1457.27,13.50848754,19685.513637415803,2022-05-02 18:00:00
21,1651510800,1459.98,1488.74,1483.44,1459.99,50.5344282,73779.75982771801,2022-05-02 17:00:00
22,1651507200,1483.36,1502.24,1501.84,1486.98,0.15485181,230.26154443380003,2022-05-02 16:00:00
23,1651503600,1499.56,1520.45,1513.95,1499.76,0.61957229,929.2097376504,2022-05-02 15:00:00
24,1651500000,1495.73,1522.3,1509.61,1513.93,6.50037567,9841.1137380831,2022-05-02 14:00:00
25,1651496400,1481.07,1512.09,1494.51,1509.61,6.97743481,10533.205363524099,2022-05-02 13:00:00
26,1651492800,1491.75,1504.98,1491.98,1494.51,0.53959245,806.4263124495,2022-05-02 12:00:00
27,1651489200,1493.29,1502.65,1500.0,1493.68,6.97326827,10415.8313495336,2022-05-02 11:00:00
28,1651485600,1500.71,1507.73,1507.32,1500.71,2.1198551,3181.2877471210004,2022-05-02 10:00:00
29,1651482000,1508.0,1529.86,1529.86,1508.0,0.33406054,503.76329432,2022-05-02 09:00:00
30,1651478400,1524.35,1548.78,1548.78,1528.61,4.22509046,6458.515528060599,2022-05-02 08:00:00
31,1651474800,1548.34,1555.97,1553.62,1548.34,2.09835636,3248.9690864423997,2022-05-02 07:00:00
32,1651471200,1552.84,1563.82,1563.82,1552.84,0.25682766,398.8122635544,2022-05-02 06:00:00
33,1651467600,1556.38,1562.84,1559.89,1561.04,0.37489939,585.2329437656,2022-05-02 05:00:00
34,1651464000,1545.39,1564.8,1548.97,1564.18,3.72890995,5832.686365591,2022-05-02 04:00:00
35,1651460400,1550.22,1558.47,1550.22,1552.64,1.338707,2078.5300364800005,2022-05-02 03:00:00
36,1651456800,1541.33,1549.73,1544.54,1549.64,5.20924088,8072.448037283201,2022-05-02 02:00:00
37,1651453200,1543.71,1563.47,1561.48,1543.71,1.25504529,1937.4259646259,2022-05-02 01:00:00
38,1651449600,1556.31,1564.55,1560.11,1564.55,1.32865759,2078.7512324345,2022-05-02 00:00:00
39,1651446000,1537.08,1552.67,1537.85,1552.67,1.13311581,1759.3549247127003,2022-05-01 23:00:00
40,1651442400,1526.94,1541.43,1528.77,1528.16,4.51254246,6895.8868856736,2022-05-01 22:00:00
41,1651438800,1526.47,1532.93,1532.93,1529.5,0.05910876,90.40684842,2022-05-01 21:00:00
42,1651435200,1514.71,1540.73,1514.71,1540.73,0.38219987,588.8668057051,2022-05-01 20:00:00
43,1651431600,1506.37,1514.63,1512.67,1514.48,6.60905983,10009.2889313384,2022-05-01 19:00:00
44,1651428000,1514.44,1553.01,1553.01,1514.44,2.07381861,3140.6738557284,2022-05-01 18:00:00
45,1651424400,1551.66,1572.16,1571.11,1551.66,6.79174031,10538.4717694146,2022-05-01 17:00:00
46,1651420800,1559.73,1576.8,1559.73,1571.11,24.43360836,38387.8864304796,2022-05-01 16:00:00
47,1651417200,1519.56,1562.3,1519.56,1562.3,4.86614327,7602.375630721001,2022-05-01 15:00:00
48,1651413600,1511.6,1519.57,1517.54,1516.96,2.83141657,4295.1456800272,2022-05-01 14:00:00
49,1651410000,1514.04,1520.06,1518.68,1517.99,1.43172751,2173.3480429049,2022-05-01 13:00:00
50,1651406400,1519.04,1526.69,1520.92,1521.28,0.12133339,184.5820595392,2022-05-01 12:00:00
51,1651402800,1526.05,1543.19,1542.85,1526.05,0.83406016,1272.817507168,2022-05-01 11:00:00
52,1651399200,1540.94,1546.15,1546.15,1542.85,0.06689788,103.213394158,2022-05-01 10:00:00
53,1651395600,1539.76,1550.75,1550.75,1539.77,0.05409347,83.2915023019,2022-05-01 09:00:00
54,1651392000,1545.85,1550.07,1546.83,1546.56,1.88996736,2922.9479202816,2022-05-01 08:00:00
55,1651388400,1540.59,1548.87,1547.96,1540.59,0.14137972,217.80818283479996,2022-05-01 07:00:00
56,1651384800,1553.82,1560.1,1555.05,1553.99,0.3083587,479.186336213,2022-05-01 06:00:00
57,1651381200,1542.77,1558.92,1542.77,1555.9,0.38490864,598.8793529760001,2022-05-01 05:00:00
58,1651377600,1540.15,1547.3,1547.3,1540.85,1.16315238,1792.243344723,2022-05-01 04:00:00
59,1651374000,1541.05,1547.97,1541.05,1547.09,1.11166635,1719.8478934214997,2022-05-01 03:00:00
60,1651370400,1536.58,1554.17,1548.33,1536.71,1.71745473,2639.2298581383,2022-05-01 02:00:00
61,1651366800,1518.31,1554.72,1543.2,1551.39,9.65746789,14982.4991098671,2022-05-01 01:00:00
62,1651363200,1526.8,1560.24,1560.13,1548.22,12.53198069,19402.263143871798,2022-05-01 00:00:00
63,1651359600,1508.34,1628.04,1628.04,1560.14,16.64080563,25961.9864955882,2022-04-30 23:00:00
64,1651356000,1636.67,1649.5,1646.58,1638.86,1.89033315,3097.9913862089998,2022-04-30 22:00:00
65,1651352400,1654.94,1660.63,1660.15,1656.89,0.42425616,702.9457889424,2022-04-30 21:00:00
66,1651348800,1656.29,1667.06,1664.85,1659.22,1.71211297,2840.7720820834,2022-04-30 20:00:00
67,1651345200,1645.33,1669.32,1651.01,1664.85,2.12430536,3536.649778596,2022-04-30 19:00:00
68,1651341600,1644.64,1655.69,1655.69,1648.69,5.20029341,8573.6717421329,2022-04-30 18:00:00
69,1651338000,1650.07,1666.27,1661.02,1655.45,1.04382772,1728.004599074,2022-04-30 17:00:00
70,1651334400,1665.18,1672.32,1665.18,1667.36,2.17739971,3630.5091804656,2022-04-30 16:00:00
71,1651330800,1655.04,1678.26,1655.33,1663.54,1.67740817,2790.4355871218,2022-04-30 15:00:00
72,1651327200,1655.34,1685.31,1685.31,1655.34,3.02564223,5008.466609008199,2022-04-30 14:00:00
73,1651323600,1682.82,1692.71,1685.32,1685.53,1.73959444,2932.1386164532,2022-04-30 13:00:00
