,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,120.53,123.2,122.65,121.33,4598.1601738,557894.773887154,2022-05-03 14:00:00
1,1651582800,121.46,123.14,122.99,122.61,2309.69322061,283191.4857789921,2022-05-03 13:00:00
2,1651579200,122.94,124.85,124.84,122.94,322.32956723,39627.1969952562,2022-05-03 12:00:00
3,1651575600,122.62,124.9,122.83,124.9,2335.45755814,291698.649011686,2022-05-03 11:00:00
4,1651572000,122.37,123.59,123.31,123.09,289.80286503,35671.834656542705,2022-05-03 10:00:00
5,1651568400,123.07,125.77,125.63,123.21,961.50376206,118466.8785234126,2022-05-03 09:00:00
6,1651564800,123.84,127.47,123.93,125.67,1148.8357869,144374.193339723,2022-05-03 08:00:00
7,1651561200,123.21,124.36,124.04,123.97,385.13839136,47745.6063768992,2022-05-03 07:00:00
8,1651557600,122.81,124.87,123.71,124.02,960.19923,119083.9085046,2022-05-03 06:00:00
9,1651554000,122.85,124.14,124.08,123.73,337.66622,41779.4414006,2022-05-03 05:00:00
10,1651550400,123.02,124.44,123.67,124.13,309.58590033,38428.8978079629,2022-05-03 04:00:00
11,1651546800,123.36,124.24,123.56,123.65,1707.06077648,211078.065011752,2022-05-03 03:00:00
12,1651543200,122.44,125.32,124.6,123.58,2256.08276218,278806.70775020437,2022-05-03 02:00:00
13,1651539600,122.52,124.79,122.87,124.59,459.2860415,57222.447910485,2022-05-03 01:00:00
14,1651536000,122.27,124.93,124.79,122.89,1143.79510037,140560.9798844693,2022-05-03 00:00:00
15,1651532400,124.01,125.56,124.65,124.79,546.86500789,68243.2843345931,2022-05-02 23:00:00
16,1651528800,124.44,125.89,124.86,124.44,786.59112423,97883.39949918119,2022-05-02 22:00:00
17,1651525200,120.69,125.47,121.16,124.74,1691.84200006,211040.37108748438,2022-05-02 21:00:00
18,1651521600,121.2,123.65,122.63,121.21,2708.13096956,328252.55482036754,2022-05-02 20:00:00
19,1651518000,117.97,122.97,117.97,122.63,1734.16378977,212660.5055394951,2022-05-02 19:00:00
20,1651514400,116.49,118.85,117.62,118.11,1717.98028119,202910.65101135088,2022-05-02 18:00:00
21,1651510800,116.17,119.67,119.07,117.72,1076.08132,126676.2929904,2022-05-02 17:00:00
22,1651507200,119.09,121.41,119.89,119.3,874.44486516,104321.272413588,2022-05-02 16:00:00
23,1651503600,119.13,120.4,119.56,119.91,4335.17032492,519830.2736611572,2022-05-02 15:00:00
24,1651500000,117.81,120.79,118.99,119.48,1353.72760829,161743.37463848921,2022-05-02 14:00:00
25,1651496400,115.62,119.83,117.05,118.98,3634.83746413,432472.96148218744,2022-05-02 13:00:00
26,1651492800,116.29,118.41,116.37,116.68,1938.13085847,226141.1085662796,2022-05-02 12:00:00
27,1651489200,116.0,118.12,117.91,116.57,7966.75974429,928685.1833918852,2022-05-02 11:00:00
28,1651485600,117.34,119.73,119.2,118.0,470.79613404,55553.943816720006,2022-05-02 10:00:00
29,1651482000,119.05,121.41,120.38,119.12,459.48300502,54733.615557982404,2022-05-02 09:00:00
30,1651478400,119.74,122.0,121.72,120.16,599.25762,72006.7956192,2022-05-02 08:00:00
31,1651474800,121.43,122.9,122.47,121.67,314.73493554,38293.7996071518,2022-05-02 07:00:00
32,1651471200,122.37,124.15,123.53,122.37,888.61248571,108739.5098763327,2022-05-02 06:00:00
33,1651467600,123.25,123.92,123.82,123.66,1665.2504,205924.86446399998,2022-05-02 05:00:00
34,1651464000,122.33,123.82,123.17,123.82,731.54685406,90580.13146970919,2022-05-02 04:00:00
35,1651460400,122.88,123.82,123.81,123.16,473.52929044,58319.8674105904,2022-05-02 03:00:00
36,1651456800,122.05,123.79,123.28,123.64,1682.51685489,208026.3839385996,2022-05-02 02:00:00
37,1651453200,122.99,125.34,124.41,123.27,2018.02464338,248761.8977894526,2022-05-02 01:00:00
38,1651449600,123.39,125.0,124.06,124.51,2020.83966105,251614.7461973355,2022-05-02 00:00:00
39,1651446000,121.98,124.75,122.5,124.12,1048.71870959,130166.96623431079,2022-05-01 23:00:00
40,1651442400,121.51,123.9,121.95,122.68,2117.04470836,259719.04482160482,2022-05-01 22:00:00
41,1651438800,121.04,123.0,122.67,122.07,365.63230643,44632.7356459101,2022-05-01 21:00:00
42,1651435200,118.69,122.79,118.93,122.67,1456.11834729,178622.0376620643,2022-05-01 20:00:00
43,1651431600,117.34,120.58,120.41,118.96,3101.58227088,368964.2269438848,2022-05-01 19:00:00
44,1651428000,120.24,124.3,124.27,120.24,4901.62061465,589370.8627055159,2022-05-01 18:00:00
45,1651424400,124.14,126.11,124.42,124.24,1366.71604725,169800.80171034,2022-05-01 17:00:00
46,1651420800,122.55,125.08,123.16,124.49,4360.52870672,542842.2186995727,2022-05-01 16:00:00
47,1651417200,118.17,123.4,118.56,123.33,3182.56196531,392505.36718168226,2022-05-01 15:00:00
48,1651413600,118.01,119.46,119.17,118.34,614.31742549,72698.3241324866,2022-05-01 14:00:00
49,1651410000,118.57,119.82,118.99,119.04,1406.43436598,167421.9469262592,2022-05-01 13:00:00
50,1651406400,116.85,120.05,117.86,118.88,11599.01527914,1378890.936384163,2022-05-01 12:00:00
51,1651402800,117.47,118.79,118.48,117.67,903.30267,106291.62517890001,2022-05-01 11:00:00
52,1651399200,118.03,119.49,118.47,118.66,374.87467449,44482.6288749834,2022-05-01 10:00:00
53,1651395600,117.46,119.78,119.78,118.4,320.34381644,37928.707866496006,2022-05-01 09:00:00
54,1651392000,117.13,119.82,117.44,119.82,634.36716368,76009.8735521376,2022-05-01 08:00:00
55,1651388400,116.93,118.34,118.32,117.41,515.84141136,60564.940107777606,2022-05-01 07:00:00
56,1651384800,117.84,119.89,118.67,118.26,1204.94878548,142497.2433708648,2022-05-01 06:00:00
57,1651381200,116.11,119.23,116.55,118.67,1562.34971507,185404.0406873569,2022-05-01 05:00:00
58,1651377600,115.83,119.0,118.51,116.52,1767.91255553,205997.1709703556,2022-05-01 04:00:00
59,1651374000,115.83,118.95,116.01,118.68,3156.52575635,374616.476763618,2022-05-01 03:00:00
60,1651370400,115.72,118.46,118.07,116.05,3663.53601495,425153.3545349475,2022-05-01 02:00:00
61,1651366800,113.06,118.33,113.38,118.1,3103.63465646,366539.25292792596,2022-05-01 01:00:00
62,1651363200,111.15,115.08,113.91,113.62,4297.81477226,488317.7144241812,2022-05-01 00:00:00
63,1651359600,108.88,121.07,120.38,114.0,7193.81320964,820094.70589896,2022-04-30 23:00:00
64,1651356000,120.19,124.85,124.85,120.28,2473.97575901,297569.8042937228,2022-04-30 22:00:00
65,1651352400,124.84,125.92,125.37,125.27,239.42406479,29992.652596243297,2022-04-30 21:00:00
66,1651348800,125.24,126.07,125.71,125.37,757.75119975,94999.2679126575,2022-04-30 20:00:00
67,1651345200,124.19,126.06,124.73,125.78,688.86771755,86645.781513439,2022-04-30 19:00:00
68,1651341600,123.43,124.88,124.17,124.81,2437.2760887,304196.428630647,2022-04-30 18:00:00
69,1651338000,123.8,126.48,126.43,124.27,1397.33018833,173646.2225037691,2022-04-30 17:00:00
70,1651334400,126.27,128.26,126.84,126.42,1341.33146398,169571.12367635162,2022-04-30 16:00:00
71,1651330800,124.2,127.51,124.65,126.85,2221.08190952,281744.240222612,2022-04-30 15:00:00
