,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,30.34,30.6,30.48,30.46,147.948,4506.496080000001,2022-05-03 14:00:00
1,1651582800,30.62,30.8,30.8,30.72,19.213,590.22336,2022-05-03 13:00:00
2,1651579200,30.76,31.02,31.02,30.76,96.741,2975.75316,2022-05-03 12:00:00
3,1651575600,30.82,31.15,30.82,31.06,29.79,925.2774,2022-05-03 11:00:00
4,1651572000,30.48,30.79,30.79,30.68,20.331,623.75508,2022-05-03 10:00:00
5,1651568400,30.74,30.84,30.78,30.75,46.594,1432.7655,2022-05-03 09:00:00
6,1651564800,30.85,31.01,30.94,31.01,8.992,278.84192,2022-05-03 08:00:00
7,1651561200,30.55,30.86,30.76,30.78,53.058,1633.12524,2022-05-03 07:00:00
8,1651557600,30.63,30.85,30.63,30.8,8.803,271.1324,2022-05-03 06:00:00
9,1651554000,30.27,30.6,30.27,30.6,0.887,27.142200000000003,2022-05-03 05:00:00
10,1651550400,30.34,30.5,30.38,30.34,47.627,1445.0031800000002,2022-05-03 04:00:00
11,1651546800,30.42,30.54,30.49,30.54,3.718,113.54772,2022-05-03 03:00:00
12,1651543200,30.42,30.65,30.5,30.46,194.697,5930.47062,2022-05-03 02:00:00
13,1651539600,29.95,30.52,29.95,30.52,42.362,1292.88824,2022-05-03 01:00:00
14,1651536000,29.91,30.32,30.32,30.05,115.402,3467.8301,2022-05-03 00:00:00
15,1651532400,30.34,30.49,30.35,30.34,26.496,803.88864,2022-05-02 23:00:00
16,1651528800,30.33,31.0,30.84,30.35,58.957,1789.3449500000002,2022-05-02 22:00:00
17,1651525200,29.95,30.83,29.95,30.83,31.883,982.9528899999999,2022-05-02 21:00:00
18,1651521600,30.0,30.38,30.36,30.0,5.811,174.32999999999998,2022-05-02 20:00:00
19,1651518000,29.81,30.48,29.81,30.48,164.832,5024.07936,2022-05-02 19:00:00
20,1651514400,29.39,29.93,29.61,29.88,73.268,2189.24784,2022-05-02 18:00:00
21,1651510800,29.29,30.06,30.03,29.54,127.871,3777.30934,2022-05-02 17:00:00
22,1651507200,30.1,30.53,30.29,30.1,95.949,2888.0649,2022-05-02 16:00:00
23,1651503600,30.25,30.77,30.77,30.25,101.71,3076.7275,2022-05-02 15:00:00
24,1651500000,29.98,30.7,30.4,30.7,31.426,964.7782,2022-05-02 14:00:00
25,1651496400,29.37,30.33,30.15,30.33,119.643,3628.7721899999997,2022-05-02 13:00:00
26,1651492800,29.81,30.11,29.92,30.04,120.817,3629.3426799999997,2022-05-02 12:00:00
27,1651489200,29.53,29.91,29.8,29.91,53.061,1587.05451,2022-05-02 11:00:00
28,1651485600,29.69,29.93,29.92,29.77,39.845,1186.18565,2022-05-02 10:00:00
29,1651482000,29.92,30.25,30.21,29.92,55.647,1664.9582400000002,2022-05-02 09:00:00
30,1651478400,30.2,30.69,30.69,30.2,83.696,2527.6192,2022-05-02 08:00:00
31,1651474800,30.67,30.9,30.83,30.67,24.077,738.4415900000001,2022-05-02 07:00:00
32,1651471200,30.84,31.14,31.14,30.84,50.249,1549.6791600000001,2022-05-02 06:00:00
33,1651467600,30.64,31.09,30.7,31.09,71.825,2233.0392500000003,2022-05-02 05:00:00
34,1651464000,30.31,30.7,30.37,30.7,17.385,533.7195,2022-05-02 04:00:00
35,1651460400,30.3,30.48,30.36,30.33,177.406,5380.72398,2022-05-02 03:00:00
36,1651456800,30.14,30.42,30.42,30.38,141.846,4309.28148,2022-05-02 02:00:00
37,1651453200,30.45,31.07,30.99,30.45,35.52,1081.584,2022-05-02 01:00:00
38,1651449600,30.8,31.03,30.83,30.96,350.187,10841.78952,2022-05-02 00:00:00
39,1651446000,30.2,31.06,30.2,30.83,406.339,12527.431369999998,2022-05-01 23:00:00
40,1651442400,30.23,30.38,30.38,30.24,235.72,7128.172799999999,2022-05-01 22:00:00
41,1651438800,29.97,30.3,29.97,30.3,120.994,3666.1182,2022-05-01 21:00:00
42,1651435200,29.84,30.13,29.84,30.12,331.368,9980.80416,2022-05-01 20:00:00
43,1651431600,29.59,29.93,29.77,29.83,67.179,2003.94957,2022-05-01 19:00:00
44,1651428000,29.8,30.5,30.48,29.8,72.218,2152.0964000000004,2022-05-01 18:00:00
45,1651424400,30.44,31.06,30.96,30.44,189.464,5767.28416,2022-05-01 17:00:00
46,1651420800,30.46,31.0,30.46,30.94,159.798,4944.15012,2022-05-01 16:00:00
47,1651417200,29.53,30.53,29.53,30.46,287.219,8748.69074,2022-05-01 15:00:00
48,1651413600,29.11,29.55,29.39,29.55,78.75,2327.0625,2022-05-01 14:00:00
49,1651410000,29.36,29.62,29.36,29.44,31.595,930.1568,2022-05-01 13:00:00
50,1651406400,28.97,29.38,29.06,29.38,27.713,814.20794,2022-05-01 12:00:00
51,1651402800,29.2,29.54,29.54,29.2,51.889,1515.1588000000002,2022-05-01 11:00:00
52,1651399200,29.46,29.66,29.46,29.61,9.313,275.75793,2022-05-01 10:00:00
53,1651395600,29.26,29.4,29.31,29.37,28.473,836.25201,2022-05-01 09:00:00
54,1651392000,29.45,29.77,29.46,29.53,181.211,5351.160830000001,2022-05-01 08:00:00
55,1651388400,29.28,29.76,29.44,29.32,206.101,6042.88132,2022-05-01 07:00:00
56,1651384800,29.19,29.55,29.52,29.31,81.415,2386.27365,2022-05-01 06:00:00
57,1651381200,28.64,29.52,28.71,29.52,242.172,7148.91744,2022-05-01 05:00:00
58,1651377600,28.61,28.99,28.98,28.74,290.553,8350.49322,2022-05-01 04:00:00
59,1651374000,28.62,28.98,28.62,28.93,290.397,8401.18521,2022-05-01 03:00:00
60,1651370400,28.59,29.2,28.85,28.64,246.263,7052.97232,2022-05-01 02:00:00
61,1651366800,27.78,29.09,28.57,28.84,790.653,22802.432520000002,2022-05-01 01:00:00
62,1651363200,28.06,29.12,28.92,28.67,421.834,12093.980780000002,2022-05-01 00:00:00
63,1651359600,27.71,30.0,30.0,28.92,1218.12,35228.030399999996,2022-04-30 23:00:00
