,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,0.703679,0.722773,0.720223,0.707782,341653.34964,241816.09111489847,2022-05-03 14:00:00
1,1651582800,0.716845,0.750332,0.725615,0.720335,1731450.86643,1247224.6598698539,2022-05-03 13:00:00
2,1651579200,0.704489,0.736364,0.706,0.726229,736104.00881,534580.0782140775,2022-05-03 12:00:00
3,1651575600,0.694089,0.706821,0.695338,0.705786,71325.13375,50340.2808488775,2022-05-03 11:00:00
4,1651572000,0.693024,0.702609,0.699842,0.696124,209912.04287,146124.81093083587,2022-05-03 10:00:00
5,1651568400,0.699341,0.707835,0.707611,0.699534,90243.7026,63128.5382545884,2022-05-03 09:00:00
6,1651564800,0.706831,0.713184,0.70939,0.706955,61652.6667,43585.6609868985,2022-05-03 08:00:00
7,1651561200,0.703102,0.710923,0.707076,0.709536,64730.50072,45928.620558865914,2022-05-03 07:00:00
8,1651557600,0.706033,0.712351,0.708674,0.707946,70935.55787,50218.54445183502,2022-05-03 06:00:00
9,1651554000,0.699834,0.709074,0.706366,0.708891,113069.9093,80154.24107358631,2022-05-03 05:00:00
10,1651550400,0.701688,0.707181,0.705089,0.706709,120822.81978,85386.57414390403,2022-05-03 04:00:00
11,1651546800,0.701326,0.712077,0.706128,0.704818,150903.80969,106359.72133808641,2022-05-03 03:00:00
12,1651543200,0.705207,0.718575,0.715081,0.706639,56978.72967,40263.39255527913,2022-05-03 02:00:00
13,1651539600,0.704079,0.715394,0.70938,0.714579,99517.07597,71112.81262956663,2022-05-03 01:00:00
14,1651536000,0.701602,0.719557,0.719557,0.70912,1392194.16453,987232.7259515135,2022-05-03 00:00:00
15,1651532400,0.713469,0.7233,0.71561,0.719558,63214.6614,45486.6153276612,2022-05-02 23:00:00
16,1651528800,0.712636,0.727797,0.721312,0.715175,235504.46934,168426.90886023451,2022-05-02 22:00:00
17,1651525200,0.69702,0.725493,0.700739,0.721251,410699.08126,296217.1230578563,2022-05-02 21:00:00
18,1651521600,0.697183,0.705016,0.700463,0.701426,1298326.12441,910679.7001404086,2022-05-02 20:00:00
19,1651518000,0.69034,0.702847,0.693196,0.701149,248906.06304,174520.23719443296,2022-05-02 19:00:00
20,1651514400,0.688005,0.699994,0.694018,0.692578,273732.77238,189581.29602939563,2022-05-02 18:00:00
21,1651510800,0.688504,0.705586,0.704095,0.695272,241939.29338,168213.61638689935,2022-05-02 17:00:00
22,1651507200,0.703086,0.715498,0.708828,0.70558,163608.16777,115438.6510151566,2022-05-02 16:00:00
23,1651503600,0.705583,0.72473,0.720752,0.70898,166953.35991,118366.59310899182,2022-05-02 15:00:00
24,1651500000,0.716239,0.735047,0.725991,0.72163,229230.22856,165419.4098357528,2022-05-02 14:00:00
25,1651496400,0.701909,0.729522,0.704205,0.727034,419873.07134,305261.99854860554,2022-05-02 13:00:00
26,1651492800,0.693784,0.712744,0.694707,0.70469,330761.80932,233084.53940971082,2022-05-02 12:00:00
27,1651489200,0.692288,0.715748,0.714561,0.695714,1685351.60363,1172522.705567842,2022-05-02 11:00:00
28,1651485600,0.71245,0.74584,0.740663,0.714906,210025.88954,150148.76858748324,2022-05-02 10:00:00
29,1651482000,0.739227,0.754339,0.739955,0.740932,193857.89011,143635.51423498252,2022-05-02 09:00:00
30,1651478400,0.73609,0.753049,0.749877,0.739016,145757.43709,107717.07812850343,2022-05-02 08:00:00
31,1651474800,0.748509,0.763059,0.761303,0.749952,709838.20028,532344.5779763865,2022-05-02 07:00:00
32,1651471200,0.748598,0.766034,0.752057,0.761359,1000255.51313,761553.5372211436,2022-05-02 06:00:00
33,1651467600,0.746702,0.753363,0.751583,0.751724,136740.41407,102791.05102635667,2022-05-02 05:00:00
34,1651464000,0.742476,0.752451,0.750247,0.752106,141337.39298,106300.70128461589,2022-05-02 04:00:00
35,1651460400,0.739768,0.753894,0.74158,0.749419,199067.23762,149184.77014994278,2022-05-02 03:00:00
36,1651456800,0.731395,0.744432,0.737897,0.741757,293593.08656,217774.72710748593,2022-05-02 02:00:00
37,1651453200,0.736542,0.777812,0.74906,0.737589,995592.37134,734337.9815842992,2022-05-02 01:00:00
38,1651449600,0.716466,0.75,0.717286,0.748824,405948.29085,303983.8229474604,2022-05-02 00:00:00
39,1651446000,0.703369,0.72318,0.706144,0.71654,128498.31556,92074.1830313624,2022-05-01 23:00:00
40,1651442400,0.703597,0.712075,0.704383,0.706733,173803.10892,122832.39257635835,2022-05-01 22:00:00
41,1651438800,0.701046,0.713162,0.710953,0.704525,185947.74067,131004.83199553174,2022-05-01 21:00:00
42,1651435200,0.694005,0.710574,0.696124,0.710116,264862.63335,188083.19374396862,2022-05-01 20:00:00
43,1651431600,0.691925,0.69999,0.697839,0.696218,360153.41234,250745.2884325301,2022-05-01 19:00:00
44,1651428000,0.696692,0.714315,0.713432,0.697943,249427.67895,174086.30252939984,2022-05-01 18:00:00
45,1651424400,0.711771,0.725823,0.720146,0.712772,1096822.03476,781784.0353599547,2022-05-01 17:00:00
46,1651420800,0.712308,0.726322,0.716523,0.720648,766550.71084,552413.2366654243,2022-05-01 16:00:00
47,1651417200,0.688663,0.718758,0.688668,0.716559,381029.90714,273030.40923033125,2022-05-01 15:00:00
48,1651413600,0.688125,0.697186,0.694274,0.688589,320097.96291,220415.936182234,2022-05-01 14:00:00
49,1651410000,0.692911,0.702793,0.701126,0.693395,135976.45447,94285.39364722565,2022-05-01 13:00:00
50,1651406400,0.690222,0.704905,0.695649,0.700625,299294.14075,209692.9573629688,2022-05-01 12:00:00
51,1651402800,0.693753,0.713233,0.712447,0.69565,1686236.53113,1173030.4428805844,2022-05-01 11:00:00
52,1651399200,0.708147,0.71835,0.714889,0.712447,341976.42052,243640.07487021244,2022-05-01 10:00:00
53,1651395600,0.707749,0.726648,0.726648,0.71534,532498.09393,380917.1865118862,2022-05-01 09:00:00
54,1651392000,0.719566,0.728826,0.721975,0.727387,107083.38287,77891.0606156607,2022-05-01 08:00:00
55,1651388400,0.71812,0.728313,0.723074,0.721396,189596.5147,136774.1673185212,2022-05-01 07:00:00
56,1651384800,0.721605,0.74021,0.737329,0.721641,738385.5661,532849.2983059702,2022-05-01 06:00:00
57,1651381200,0.716099,0.744432,0.719642,0.737391,223349.2378,164695.7178105798,2022-05-01 05:00:00
58,1651377600,0.714587,0.732679,0.726967,0.719135,465958.66453,335087.1842167815,2022-05-01 04:00:00
59,1651374000,0.717543,0.731783,0.718494,0.726967,332588.52044,241780.8789387055,2022-05-01 03:00:00
60,1651370400,0.71401,0.731674,0.718177,0.717505,342528.98322,245766.25810526608,2022-05-01 02:00:00
61,1651366800,0.682371,0.721897,0.70697,0.7184,1418235.0837,1018860.0841300801,2022-05-01 01:00:00
62,1651363200,0.70608,0.757706,0.753037,0.707082,980451.1774,693259.3794183468,2022-05-01 00:00:00
63,1651359600,0.74702,0.801712,0.793892,0.753957,1090937.78307,822520.1781101079,2022-04-30 23:00:00
64,1651356000,0.79315,0.827682,0.823292,0.793677,522103.55371,414381.58219789166,2022-04-30 22:00:00
65,1651352400,0.816361,0.83198,0.83198,0.824733,298476.03916,246163.03920454427,2022-04-30 21:00:00
66,1651348800,0.813754,0.834156,0.814947,0.832056,644551.97758,536303.3402573045,2022-04-30 20:00:00
67,1651345200,0.803207,0.82269,0.818045,0.8162,364108.94293,297185.71921946603,2022-04-30 19:00:00
68,1651341600,0.79791,0.822377,0.808235,0.817802,557911.98611,456261.5380647303,2022-04-30 18:00:00
69,1651338000,0.801456,0.8262,0.806853,0.808309,1051002.07167,849534.4335495061,2022-04-30 17:00:00
70,1651334400,0.797768,0.832877,0.797948,0.80751,1154299.56955,932108.4454073204,2022-04-30 16:00:00
71,1651330800,0.783467,0.81461,0.786935,0.797987,632256.70676,504532.6326572921,2022-04-30 15:00:00
72,1651327200,0.784137,0.819669,0.818071,0.787,513398.73157,404044.80174559,2022-04-30 14:00:00
73,1651323600,0.802865,0.824188,0.808428,0.818196,792368.71933,648312.9166809287,2022-04-30 13:00:00
74,1651320000,0.795243,0.819618,0.801604,0.808433,627195.32954,507045.40184601076,2022-04-30 12:00:00
75,1651316400,0.793075,0.8273,0.793075,0.801855,1178318.95662,944840.9469605301,2022-04-30 11:00:00
76,1651312800,0.785101,0.802769,0.800392,0.792267,267270.109,211749.287447103,2022-04-30 10:00:00
77,1651309200,0.791322,0.816103,0.796297,0.801277,1015256.32299,813501.5407164582,2022-04-30 09:00:00
78,1651305600,0.772701,0.802441,0.788745,0.796531,1610194.16831,1282569.5710781326,2022-04-30 08:00:00
79,1651302000,0.788272,0.818683,0.804452,0.788927,701138.60545,553147.1765818523,2022-04-30 07:00:00
80,1651298400,0.778713,0.809645,0.783842,0.805023,900864.04382,725216.2751481079,2022-04-30 06:00:00
81,1651294800,0.764155,0.788715,0.766367,0.784495,492193.70874,386123.5035379863,2022-04-30 05:00:00
82,1651291200,0.760827,0.771804,0.765619,0.766209,186093.43407,142586.46402534063,2022-04-30 04:00:00
83,1651287600,0.753384,0.767875,0.761903,0.765998,228179.63572,174785.14460224853,2022-04-30 03:00:00
84,1651284000,0.755759,0.768758,0.760138,0.760634,219244.49381,166764.81630467557,2022-04-30 02:00:00
85,1651280400,0.753472,0.770431,0.753472,0.761361,281466.03071,214297.2586073963,2022-04-30 01:00:00
86,1651276800,0.741146,0.76628,0.743032,0.752692,285803.6447,215122.1169365324,2022-04-30 00:00:00
87,1651273200,0.737836,0.749574,0.745727,0.743406,117793.09112,87568.09069715472,2022-04-29 23:00:00
88,1651269600,0.737375,0.747294,0.743304,0.746235,251770.1576,187879.703556636,2022-04-29 22:00:00
89,1651266000,0.742532,0.750208,0.749939,0.743246,225413.84741,167537.94043209284,2022-04-29 21:00:00
90,1651262400,0.745173,0.753629,0.746045,0.749061,150171.88933,112487.90559341913,2022-04-29 20:00:00
91,1651258800,0.742512,0.760294,0.757266,0.745875,620712.91889,462974.2483770787,2022-04-29 19:00:00
92,1651255200,0.75123,0.768371,0.767777,0.757006,216097.94942,163587.44429863652,2022-04-29 18:00:00
93,1651251600,0.761654,0.769865,0.765205,0.766288,99545.84889,76280.78945422031,2022-04-29 17:00:00
94,1651248000,0.756285,0.775273,0.773592,0.765894,461295.57314,353303.5116944871,2022-04-29 16:00:00
95,1651244400,0.768152,0.778119,0.774202,0.773592,811206.55448,627542.9008932922,2022-04-29 15:00:00
0,1651240800,0.769452,0.785232,0.783882,0.773934,138145.87137,106915.78681286958,2022-04-29 14:00:00
1,1651237200,0.773264,0.785921,0.77716,0.78428,281800.09211,221010.17624003082,2022-04-29 13:00:00
2,1651233600,0.776531,0.785565,0.780402,0.7773,203844.86815,158448.616012995,2022-04-29 12:00:00
3,1651230000,0.773615,0.785143,0.779066,0.78,152296.42001,118791.20760780001,2022-04-29 11:00:00
4,1651226400,0.765704,0.785549,0.781042,0.779505,525820.051,409879.358854755,2022-04-29 10:00:00
5,1651222800,0.780556,0.791637,0.791253,0.781023,223541.62334,174591.14928587683,2022-04-29 09:00:00
6,1651219200,0.79,0.808036,0.807828,0.792289,248375.10349,196784.86236898863,2022-04-29 08:00:00
7,1651215600,0.791817,0.812308,0.794293,0.808479,271656.26532,219628.38572964826,2022-04-29 07:00:00
8,1651212000,0.789302,0.794651,0.791476,0.793976,137269.66847,108988.82229313672,2022-04-29 06:00:00
9,1651208400,0.789772,0.796172,0.793614,0.791761,95977.99298,75991.63169983779,2022-04-29 05:00:00
10,1651204800,0.787725,0.794782,0.791946,0.793541,219148.66096,173903.44756685937,2022-04-29 04:00:00
11,1651201200,0.787904,0.798035,0.794856,0.792494,288153.39878,228359.83961275732,2022-04-29 03:00:00
12,1651197600,0.791046,0.812842,0.810902,0.794145,549395.47189,436299.6670240841,2022-04-29 02:00:00
13,1651194000,0.809488,0.820083,0.8146,0.810261,269563.79395,218417.02924972097,2022-04-29 01:00:00
14,1651190400,0.80943,0.824358,0.815,0.814806,635356.86936,517692.5892957442,2022-04-29 00:00:00
