Company,Symbol,Weight
Apple Inc,AAPL,13.172
Microsoft Corp,MSFT,10.57
Amazon.com Inc,AMZN,5.994
Tesla Inc,TSLA,4.591
Alphabet Inc,GOOG,3.747
Meta Platforms Inc,FB,3.616
Alphabet Inc,GOOGL,3.573
NVIDIA Corp,NVDA,3.372
Broadcom Inc,AVGO,2.023
PepsiCo Inc,PEP,2.007
Costco Wholesale Corp,COST,1.9
Cisco Systems Inc,CSCO,1.745
Adobe Inc,ADBE,1.573
Comcast Corp,CMCSA,1.541
Intel Corp,INTC,1.536
QUALCOMM Inc,QCOM,1.349
T-Mobile US Inc,TMUS,1.349
Advanced Micro Devices Inc,AMD,1.321
Texas Instruments Inc,TXN,1.317
Honeywell International Inc,HON,1.141
Amgen Inc,AMGN,1.122
Intuit Inc,INTU,0.954
Applied Materials Inc,AMAT,0.846
PayPal Holdings Inc,PYPL,0.81
Mondelez International Inc,MDLZ,0.777
Automatic Data Processing Inc,ADP,0.776
Booking Holdings Inc,BKNG,0.764
Starbucks Corp,SBUX,0.749
Analog Devices Inc,ADI,0.696
Intuitive Surgical Inc,ISRG,0.685
Netflix Inc,NFLX,0.684
Charter Communications Inc,CHTR,0.676
Micron Technology Inc,MU,0.671
Gilead Sciences Inc,GILD,0.653
CSX Corp,CSX,0.65
Lam Research Corp,LRCX,0.568
Regeneron Pharmaceuticals Inc,REGN,0.566
Vertex Pharmaceuticals Inc,VRTX,0.55
Fiserv Inc,FISV,0.531
Activision Blizzard Inc,ATVI,0.516
Marriott International Inc/MD,MAR,0.479
Moderna Inc,MRNA,0.461
Kraft Heinz Co/The,KHC,0.454
Keurig Dr Pepper Inc,KDP,0.446
Airbnb Inc,ABNB,0.429
American Electric Power Co Inc,AEP,0.428
KLA Corp,KLAC,0.425
Palo Alto Networks Inc,PANW,0.423
Marvell Technology Inc,MRVL,0.415
MercadoLibre Inc,MELI,0.398
NXP Semiconductors NV,NXPI,0.397
Exelon Corp,EXC,0.393
Monster Beverage Corp,MNST,0.391
ASML Holding NV,ASML,0.389
Paychex Inc,PAYX,0.381
Fortinet Inc,FTNT,0.365
Autodesk Inc,ADSK,0.363
Synopsys Inc,SNPS,0.358
Cadence Design Systems Inc,CDNS,0.346
O'Reilly Automotive Inc,ORLY,0.345
Cintas Corp,CTAS,0.339
Xcel Energy Inc,XEL,0.339
Cognizant Technology Solutions Corp,CTSH,0.337
Lululemon Athletica Inc,LULU,0.333
Illumina Inc,ILMN,0.333
Walgreens Boots Alliance Inc,WBA,0.323
Microchip Technology Inc,MCHP,0.32
Workday Inc,WDAY,0.316
Dollar Tree Inc,DLTR,0.315
AstraZeneca PLC ADR,AZN,0.313
Crowdstrike Holdings Inc,CRWD,0.292
Dexcom Inc,DXCM,0.291
Ross Stores Inc,ROST,0.29
JD.com Inc ADR,JD,0.282
Electronic Arts Inc,EA,0.276
Old Dominion Freight Line Inc,ODFL,0.274
IDEXX Laboratories Inc,IDXX,0.263
Fastenal Co,FAST,0.261
Lucid Group Inc,LCID,0.255
Verisk Analytics Inc,VRSK,0.255
PACCAR Inc,PCAR,0.25
Datadog Inc,DDOG,0.248
eBay Inc,EBAY,0.244
Atlassian Corp PLC,TEAM,0.243
Biogen Inc,BIIB,0.242
Baidu Inc ADR,BIDU,0.24
Copart Inc,CPRT,0.221
Zscaler Inc,ZS,0.206
Sirius XM Holdings Inc,SIRI,0.204
Zoom Video Communications Inc,ZM,0.199
ANSYS Inc,ANSS,0.194
Seagen Inc,SGEN,0.193
Align Technology Inc,ALGN,0.188
Match Group Inc,MTCH,0.18
Constellation Energy Corp,CEG,0.168
VeriSign Inc,VRSN,0.161
NetEase Inc ADR,NTES,0.158
Skyworks Solutions Inc,SWKS,0.148
Pinduoduo Inc ADR,PDD,0.144
Splunk Inc,SPLK,0.14
Okta Inc,OKTA,0.13
DocuSign Inc,DOCU,0.126
