,marketcap,corr,id
33,12408524800.0,0.45794584430710406,DOCU
72,15061583872.0,0.5432621617414423,OKTA
87,15456053248.0,0.4379686487926313,SPLK
88,16086162432.0,0.7150555616351393,SWKS
65,18600671232.0,0.5761593953109994,MTCH
94,19239389184.0,0.6540138961787215,VRSN
7,20022902784.0,0.5787498201516925,ALGN
12,20610562048.0,0.794693574517451,ANSS
100,21395779584.0,0.5136581686684126,ZS
36,24403511296.0,0.44876659588591233,EBAY
85,24994361344.0,0.3855273973128265,SIRI
38,27521230848.0,0.6132484800189207,FAST
25,27641370624.0,0.7773759904437534,CPRT
82,27686148096.0,0.6463811421670534,ROST
93,27711801344.0,0.6156288002344893,VRSK
76,27922421760.0,0.5096221229921187,PCAR
31,28679147520.0,0.561363737670581,DDOG
46,29423257600.0,0.5378030240498659,ILMN
99,29515548672.0,0.41464086076408135,ZM
71,29642070016.0,0.6437516854853012,ODFL
34,30218883072.0,0.548140895850003,DXCM
45,30292996096.0,0.6317805738040774,IDXX
84,31011282944.0,0.3559002516211537,SGEN
18,31390521344.0,0.20190999418936606,BIIB
96,33118328832.0,0.4279123030427405,WBA
54,33290084352.0,0.33222626815434864,LCID
30,33928427520.0,0.7454296624568745,CTSH
58,34240436224.0,0.736668525498954,MCHP
35,34527805440.0,0.29161276835610817,EA
60,34853515264.0,0.6198284107389832,MELI
97,35239960576.0,0.6485704363864939,WDAY
56,36332306432.0,0.6128414848481881,LULU
98,37335965696.0,0.2417294310743496,XEL
32,38062243840.0,0.26818032115915497,DLTR
5,38504943616.0,0.6910850033511804,ADSK
29,38541348864.0,0.7014445277740093,CTAS
26,41134764032.0,0.4571826508530907,CRWD
75,41240940544.0,0.716778855631245,PAYX
63,41322139648.0,0.6623453507992051,MRVL
70,42514522112.0,0.7103281157397578,NXPI
20,42759192576.0,0.7456810778845523,CDNS
37,42893987840.0,0.38539598153674365,EXC
73,44216102912.0,0.3547178812399098,ORLY
40,46552891392.0,0.7081019227209966,FTNT
53,47013609472.0,0.714185093257572,KLAC
52,47039856640.0,0.19055253108928585,KHC
57,47324012544.0,0.6070221352825697,MAR
86,47486476288.0,0.76772107591432,SNPS
89,47647952896.0,0.5722543742496793,TEAM
6,47949602816.0,0.29047608810245196,AEP
17,48750338048.0,0.34838581181480416,BIDU
61,50329337856.0,0.6294127701518473,MNST
74,50399571968.0,0.4951830499115539,PANW
51,51294769152.0,0.4027319756519457,KDP
68,57640595456.0,0.27643831909787303,NTES
55,58698641408.0,0.7020135526975516,LRCX
14,60197019648.0,0.06719522919360874,ATVI
39,60741644288.0,0.5317905627502958,FISV
1,62163337216.0,0.5498723684400699,ABNB
28,62683914240.0,0.5436411693933706,CSX
81,64446648320.0,0.3307147108945423,REGN
62,64993980416.0,0.23849147826141415,MRNA
66,66685415424.0,0.6198797039846626,MU
77,69693177856.0,0.3085233338464259,PDD
19,70635388928.0,0.5692717649283144,BKNG
95,73161564160.0,0.27789907743317327,VRTX
49,74038468608.0,0.7029445284493141,ISRG
41,76387483648.0,0.3389801057898084,GILD
22,79566372864.0,0.367679974581497,CHTR
3,80699883520.0,0.7420766804467931,ADI
8,81026867200.0,0.7049849597453636,AMAT
59,83118235648.0,0.4372085945243662,MDLZ
67,84820787200.0,0.414384181485438,NFLX
79,85845508096.0,0.5460414976683385,PYPL
4,88274116608.0,0.6631100597647246,ADP
83,92015788032.0,0.6628022562424037,SBUX
50,96940097536.0,0.3041474586525033,JD
48,109516390400.0,0.7299529613403931,INTU
44,116371300352.0,0.6483309519302594,HON
10,130259329024.0,0.34169691409740865,AMGN
9,131958128640.0,0.6519728760996454,AMD
92,147237142528.0,0.7280884458539495,TXN
47,158285185024.0,0.6057593369808494,INTC
80,158692802560.0,0.7028842975488272,QCOM
90,168568913920.0,0.4083733619645298,TMUS
2,175607644160.0,0.6900426845085138,ADBE
27,176404889600.0,0.6353949866735548,CSCO
23,181619621888.0,0.46215890476445776,CMCSA
13,190623989760.0,0.7467021495087126,ASML
15,198298861568.0,0.7541435318363156,AVGO
16,205677969408.0,0.20205454953769927,AZN
24,228701798400.0,0.6028241752750714,COST
78,232212250624.0,0.45308552304979427,PEP
69,401236918272.0,0.733234765052809,NVDA
91,747900502016.0,0.5089608129474731,TSLA
11,1157439815680.0,0.6710001848892895,AMZN
42,1440854179840.0,0.7921056974725263,GOOG
43,1441976156160.0,0.7850685005570999,GOOGL
64,1901543292928.0,0.8033549995875976,MSFT
0,2380357435392.0,0.7944027023368941,AAPL
BTC,734589762490.0,0.3918394731331666,BTC
ETH,339508249529.0,0.40526333062710174,ETH
