id,vol_n100,marketcap
DOCU,0.04568155451609745,12408524800.0
OKTA,0.033722919473923973,15061583872.0
SPLK,0.03036585778174948,15456053248.0
SWKS,0.020595070467008272,16086162432.0
MTCH,0.030051859997640314,18600671232.0
VRSN,0.016951138147348076,19239389184.0
ALGN,0.028104632252013213,20022902784.0
ANSS,0.020027759929514957,20610562048.0
ZS,0.035278080977499265,21395779584.0
EBAY,0.019631950972043243,24403511296.0
SIRI,0.016318118189313294,24994361344.0
FAST,0.013082724762626511,27521230848.0
CPRT,0.017905272744205704,27641370624.0
ROST,0.019650704984201916,27686148096.0
VRSK,0.012933927876434232,27711801344.0
PCAR,0.014700273912518056,27922421760.0
DDOG,0.03706980121051086,28679147520.0
ILMN,0.02325547590799219,29423257600.0
ZM,0.033129071313213965,29515548672.0
ODFL,0.018956178244898432,29642070016.0
DXCM,0.026564156292552436,30218883072.0
IDXX,0.019749845794175293,30292996096.0
SGEN,0.021581436436941204,31011282944.0
BIIB,0.03164339020295152,31390521344.0
WBA,0.016494083024329368,33118328832.0
LCID,0.05664798207199118,33290084352.0
CTSH,0.013614370966356239,33928427520.0
MCHP,0.02351868882253829,34240436224.0
EA,0.01583030965764053,34527805440.0
MELI,0.03667467719937157,34853515264.0
WDAY,0.020852358834620638,35239960576.0
LULU,0.02306551274104103,36332306432.0
XEL,0.01112710018140464,37335965696.0
DLTR,0.023597641285539317,38062243840.0
ADSK,0.024436015336206846,38504943616.0
CTAS,0.014031299174453105,38541348864.0
CRWD,0.03384763753159898,41134764032.0
PAYX,0.01367364525618459,41240940544.0
MRVL,0.031130014796712183,41322139648.0
NXPI,0.023711529730458477,42514522112.0
CDNS,0.021511064986637508,42759192576.0
EXC,0.011179228267264424,42893987840.0
ORLY,0.015936677749195417,44216102912.0
FTNT,0.028698450640925473,46552891392.0
KLAC,0.02605301134347678,47013609472.0
KHC,0.013022730606267782,47039856640.0
MAR,0.020775241130849952,47324012544.0
SNPS,0.022049281757853933,47486476288.0
TEAM,0.03630313256555802,47647952896.0
AEP,0.010681472189939317,47949602816.0
BIDU,0.040065136263933335,48750338048.0
MNST,0.015936299381974117,50329337856.0
PANW,0.026205875141009725,50399571968.0
KDP,0.011914884130644083,51294769152.0
NTES,0.03845558394992928,57640595456.0
LRCX,0.025234027575761164,58698641408.0
ATVI,0.02371121408702973,60197019648.0
FISV,0.017786146792681427,60741644288.0
ABNB,0.03218749664611976,62163337216.0
CSX,0.015379759790063395,62683914240.0
REGN,0.015896254237478386,64446648320.0
MRNA,0.05197992874202092,64993980416.0
MU,0.02595806818979618,66685415424.0
PDD,0.06491173181893743,69693177856.0
BKNG,0.02292557433450854,70635388928.0
VRTX,0.016295900683704345,73161564160.0
ISRG,0.021689617419416676,74038468608.0
GILD,0.01105341724214629,76387483648.0
CHTR,0.01675323948603476,79566372864.0
ADI,0.018819407472248046,80699883520.0
AMAT,0.025940868550932545,81026867200.0
MDLZ,0.010527668821347503,83118235648.0
NFLX,0.03480983962885097,84820787200.0
PYPL,0.030566881451841044,85845508096.0
ADP,0.01350997065569856,88274116608.0
SBUX,0.016421002348005732,92015788032.0
JD,0.044283879814121525,96940097536.0
INTU,0.022541701672380596,109516390400.0
HON,0.01325696871092499,116371300352.0
AMGN,0.012826583216805498,130259329024.0
AMD,0.032167446131140795,131958128640.0
TXN,0.016005312480152314,147237142528.0
INTC,0.01862034256133896,158285185024.0
QCOM,0.02488607038623852,158692802560.0
TMUS,0.016710369580651235,168568913920.0
ADBE,0.02255087283627818,175607644160.0
CSCO,0.013358160529393938,176404889600.0
CMCSA,0.015314308116651899,181619621888.0
ASML,0.02465970098093395,190623989760.0
AVGO,0.01817485579724408,198298861568.0
AZN,0.015406961708442198,205677969408.0
COST,0.01376638936861926,228701798400.0
PEP,0.00940529086080079,232212250624.0
NVDA,0.03323582139977285,401236918272.0
TSLA,0.03459970588884398,747900502016.0
AMZN,0.022784881714761424,1157439815680.0
GOOG,0.016797888855846897,1440854179840.0
GOOGL,0.017035649821010083,1441976156160.0
MSFT,0.016053377180898186,1901543292928.0
AAPL,0.015867547190994726,2380357435392.0
ETH,0.054253821153331834,339508249529.0
BTC,0.043187253773249806,734589762490.0
