,vol,Date_utc
6778,,2020-09-21 20:00:00+00:00
6779,,2020-09-22 20:00:00+00:00
6780,,2020-09-23 20:00:00+00:00
6781,,2020-09-24 20:00:00+00:00
6782,,2020-09-25 20:00:00+00:00
6783,,2020-09-28 20:00:00+00:00
6784,,2020-09-29 20:00:00+00:00
6785,,2020-09-30 20:00:00+00:00
6786,,2020-10-01 20:00:00+00:00
6787,,2020-10-02 20:00:00+00:00
6788,,2020-10-05 20:00:00+00:00
6789,,2020-10-06 20:00:00+00:00
6790,,2020-10-07 20:00:00+00:00
6791,,2020-10-08 20:00:00+00:00
6792,,2020-10-09 20:00:00+00:00
6793,,2020-10-12 20:00:00+00:00
6794,,2020-10-13 20:00:00+00:00
6795,,2020-10-14 20:00:00+00:00
6796,,2020-10-15 20:00:00+00:00
6797,,2020-10-16 20:00:00+00:00
6798,,2020-10-19 20:00:00+00:00
6799,,2020-10-20 20:00:00+00:00
6800,,2020-10-21 20:00:00+00:00
6801,,2020-10-22 20:00:00+00:00
6802,,2020-10-23 20:00:00+00:00
6803,,2020-10-26 20:00:00+00:00
6804,,2020-10-27 20:00:00+00:00
6805,,2020-10-28 20:00:00+00:00
6806,,2020-10-29 20:00:00+00:00
6807,,2020-10-30 20:00:00+00:00
6808,,2020-11-02 21:00:00+00:00
6809,,2020-11-03 21:00:00+00:00
6810,,2020-11-04 21:00:00+00:00
6811,,2020-11-05 21:00:00+00:00
6812,,2020-11-06 21:00:00+00:00
6813,,2020-11-09 21:00:00+00:00
6814,,2020-11-10 21:00:00+00:00
6815,,2020-11-11 21:00:00+00:00
6816,,2020-11-12 21:00:00+00:00
6817,,2020-11-13 21:00:00+00:00
6818,,2020-11-16 21:00:00+00:00
6819,,2020-11-17 21:00:00+00:00
6820,,2020-11-18 21:00:00+00:00
6821,,2020-11-19 21:00:00+00:00
6822,,2020-11-20 21:00:00+00:00
6823,,2020-11-23 21:00:00+00:00
6824,,2020-11-24 21:00:00+00:00
6825,,2020-11-25 21:00:00+00:00
6826,,2020-11-27 21:00:00+00:00
6827,,2020-11-30 21:00:00+00:00
6828,,2020-12-01 21:00:00+00:00
6829,,2020-12-02 21:00:00+00:00
6830,,2020-12-03 21:00:00+00:00
6831,,2020-12-04 21:00:00+00:00
6832,,2020-12-07 21:00:00+00:00
6833,,2020-12-08 21:00:00+00:00
6834,,2020-12-09 21:00:00+00:00
6835,,2020-12-10 21:00:00+00:00
6836,,2020-12-11 21:00:00+00:00
6837,,2020-12-14 21:00:00+00:00
6838,,2020-12-15 21:00:00+00:00
6839,,2020-12-16 21:00:00+00:00
6840,,2020-12-17 21:00:00+00:00
6841,,2020-12-18 21:00:00+00:00
6842,,2020-12-21 21:00:00+00:00
6843,,2020-12-22 21:00:00+00:00
6844,,2020-12-23 21:00:00+00:00
6845,,2020-12-24 21:00:00+00:00
6846,,2020-12-28 21:00:00+00:00
6847,,2020-12-29 21:00:00+00:00
6848,,2020-12-30 21:00:00+00:00
6849,,2020-12-31 21:00:00+00:00
6850,,2021-01-04 21:00:00+00:00
6851,,2021-01-05 21:00:00+00:00
6852,,2021-01-06 21:00:00+00:00
6853,,2021-01-07 21:00:00+00:00
6854,,2021-01-08 21:00:00+00:00
6855,,2021-01-11 21:00:00+00:00
6856,,2021-01-12 21:00:00+00:00
6857,,2021-01-13 21:00:00+00:00
6858,,2021-01-14 21:00:00+00:00
6859,,2021-01-15 21:00:00+00:00
