,vol,Date_utc
7852,,2018-04-30 20:00:00+00:00
7853,,2018-05-01 20:00:00+00:00
7854,,2018-05-02 20:00:00+00:00
7855,,2018-05-03 20:00:00+00:00
7856,,2018-05-04 20:00:00+00:00
7857,,2018-05-07 20:00:00+00:00
7858,,2018-05-08 20:00:00+00:00
7859,,2018-05-09 20:00:00+00:00
7860,,2018-05-10 20:00:00+00:00
7861,,2018-05-11 20:00:00+00:00
7862,,2018-05-14 20:00:00+00:00
7863,,2018-05-15 20:00:00+00:00
7864,,2018-05-16 20:00:00+00:00
7865,,2018-05-17 20:00:00+00:00
7866,,2018-05-18 20:00:00+00:00
7867,,2018-05-21 20:00:00+00:00
7868,,2018-05-22 20:00:00+00:00
7869,,2018-05-23 20:00:00+00:00
7870,,2018-05-24 20:00:00+00:00
7871,,2018-05-25 20:00:00+00:00
7872,,2018-05-29 20:00:00+00:00
7873,,2018-05-30 20:00:00+00:00
7874,,2018-05-31 20:00:00+00:00
7875,,2018-06-01 20:00:00+00:00
7876,,2018-06-04 20:00:00+00:00
7877,,2018-06-05 20:00:00+00:00
7878,,2018-06-06 20:00:00+00:00
7879,,2018-06-07 20:00:00+00:00
7880,,2018-06-08 20:00:00+00:00
7881,,2018-06-11 20:00:00+00:00
7882,,2018-06-12 20:00:00+00:00
7883,,2018-06-13 20:00:00+00:00
7884,,2018-06-14 20:00:00+00:00
7885,,2018-06-15 20:00:00+00:00
7886,,2018-06-18 20:00:00+00:00
7887,,2018-06-19 20:00:00+00:00
7888,,2018-06-20 20:00:00+00:00
7889,,2018-06-21 20:00:00+00:00
7890,,2018-06-22 20:00:00+00:00
7891,,2018-06-25 20:00:00+00:00
7892,,2018-06-26 20:00:00+00:00
7893,,2018-06-27 20:00:00+00:00
7894,,2018-06-28 20:00:00+00:00
7895,,2018-06-29 20:00:00+00:00
7896,,2018-07-02 20:00:00+00:00
7897,,2018-07-03 20:00:00+00:00
7898,,2018-07-05 20:00:00+00:00
7899,,2018-07-06 20:00:00+00:00
7900,,2018-07-09 20:00:00+00:00
7901,,2018-07-10 20:00:00+00:00
7902,,2018-07-11 20:00:00+00:00
7903,,2018-07-12 20:00:00+00:00
7904,,2018-07-13 20:00:00+00:00
7905,,2018-07-16 20:00:00+00:00
7906,,2018-07-17 20:00:00+00:00
7907,,2018-07-18 20:00:00+00:00
7908,,2018-07-19 20:00:00+00:00
7909,,2018-07-20 20:00:00+00:00
7910,,2018-07-23 20:00:00+00:00
7911,,2018-07-24 20:00:00+00:00
7912,,2018-07-25 20:00:00+00:00
7913,,2018-07-26 20:00:00+00:00
7914,,2018-07-27 20:00:00+00:00
7915,,2018-07-30 20:00:00+00:00
7916,,2018-07-31 20:00:00+00:00
7917,,2018-08-01 20:00:00+00:00
7918,,2018-08-02 20:00:00+00:00
7919,,2018-08-03 20:00:00+00:00
7920,,2018-08-06 20:00:00+00:00
7921,,2018-08-07 20:00:00+00:00
7922,,2018-08-08 20:00:00+00:00
7923,,2018-08-09 20:00:00+00:00
7924,,2018-08-10 20:00:00+00:00
7925,,2018-08-13 20:00:00+00:00
7926,,2018-08-14 20:00:00+00:00
7927,,2018-08-15 20:00:00+00:00
7928,,2018-08-16 20:00:00+00:00
7929,,2018-08-17 20:00:00+00:00
7930,,2018-08-20 20:00:00+00:00
7931,,2018-08-21 20:00:00+00:00
7932,,2018-08-22 20:00:00+00:00
7933,,2018-08-23 20:00:00+00:00
7934,,2018-08-24 20:00:00+00:00
7935,,2018-08-27 20:00:00+00:00
7936,,2018-08-28 20:00:00+00:00
7937,,2018-08-29 20:00:00+00:00
7938,,2018-08-30 20:00:00+00:00
7939,,2018-08-31 20:00:00+00:00
7940,,2018-09-04 20:00:00+00:00
7941,,2018-09-05 20:00:00+00:00
7942,,2018-09-06 20:00:00+00:00
7943,,2018-09-07 20:00:00+00:00
7944,,2018-09-10 20:00:00+00:00
7945,,2018-09-11 20:00:00+00:00
7946,,2018-09-12 20:00:00+00:00
7947,,2018-09-13 20:00:00+00:00
7948,,2018-09-14 20:00:00+00:00
7949,,2018-09-17 20:00:00+00:00
7950,,2018-09-18 20:00:00+00:00
7951,,2018-09-19 20:00:00+00:00
7952,,2018-09-20 20:00:00+00:00
7953,,2018-09-21 20:00:00+00:00
7954,,2018-09-24 20:00:00+00:00
7955,,2018-09-25 20:00:00+00:00
7956,,2018-09-26 20:00:00+00:00
7957,,2018-09-27 20:00:00+00:00
7958,,2018-09-28 20:00:00+00:00
7959,,2018-10-01 20:00:00+00:00
7960,,2018-10-02 20:00:00+00:00
7961,,2018-10-03 20:00:00+00:00
7962,,2018-10-04 20:00:00+00:00
7963,,2018-10-05 20:00:00+00:00
7964,,2018-10-08 20:00:00+00:00
7965,,2018-10-09 20:00:00+00:00
7966,,2018-10-10 20:00:00+00:00
7967,,2018-10-11 20:00:00+00:00
7968,,2018-10-12 20:00:00+00:00
7969,,2018-10-15 20:00:00+00:00
7970,,2018-10-16 20:00:00+00:00
7971,,2018-10-17 20:00:00+00:00
7972,,2018-10-18 20:00:00+00:00
7973,,2018-10-19 20:00:00+00:00
7974,,2018-10-22 20:00:00+00:00
7975,,2018-10-23 20:00:00+00:00
7976,,2018-10-24 20:00:00+00:00
7977,,2018-10-25 20:00:00+00:00
7978,,2018-10-26 20:00:00+00:00
7979,,2018-10-29 20:00:00+00:00
7980,,2018-10-30 20:00:00+00:00
7981,,2018-10-31 20:00:00+00:00
7982,,2018-11-01 20:00:00+00:00
7983,,2018-11-02 20:00:00+00:00
7984,,2018-11-05 21:00:00+00:00
7985,,2018-11-06 21:00:00+00:00
7986,,2018-11-07 21:00:00+00:00
7987,,2018-11-08 21:00:00+00:00
7988,,2018-11-09 21:00:00+00:00
7989,,2018-11-12 21:00:00+00:00
7990,,2018-11-13 21:00:00+00:00
7991,,2018-11-14 21:00:00+00:00
7992,,2018-11-15 21:00:00+00:00
7993,,2018-11-16 21:00:00+00:00
7994,,2018-11-19 21:00:00+00:00
7995,,2018-11-20 21:00:00+00:00
7996,,2018-11-21 21:00:00+00:00
7997,,2018-11-23 21:00:00+00:00
7998,,2018-11-26 21:00:00+00:00
7999,,2018-11-27 21:00:00+00:00
8000,,2018-11-28 21:00:00+00:00
8001,,2018-11-29 21:00:00+00:00
8002,,2018-11-30 21:00:00+00:00
8003,,2018-12-03 21:00:00+00:00
8004,,2018-12-04 21:00:00+00:00
8005,,2018-12-06 21:00:00+00:00
8006,,2018-12-07 21:00:00+00:00
8007,,2018-12-10 21:00:00+00:00
8008,,2018-12-11 21:00:00+00:00
8009,,2018-12-12 21:00:00+00:00
8010,,2018-12-13 21:00:00+00:00
8011,,2018-12-14 21:00:00+00:00
8012,,2018-12-17 21:00:00+00:00
8013,,2018-12-18 21:00:00+00:00
8014,,2018-12-19 21:00:00+00:00
8015,,2018-12-20 21:00:00+00:00
8016,,2018-12-21 21:00:00+00:00
8017,,2018-12-24 21:00:00+00:00
8018,,2018-12-26 21:00:00+00:00
8019,,2018-12-27 21:00:00+00:00
8020,,2018-12-28 21:00:00+00:00
8021,,2018-12-31 21:00:00+00:00
8022,,2019-01-02 21:00:00+00:00
8023,,2019-01-03 21:00:00+00:00
8024,,2019-01-04 21:00:00+00:00
8025,,2019-01-07 21:00:00+00:00
8026,,2019-01-08 21:00:00+00:00
8027,,2019-01-09 21:00:00+00:00
8028,,2019-01-10 21:00:00+00:00
8029,,2019-01-11 21:00:00+00:00
8030,,2019-01-14 21:00:00+00:00
8031,,2019-01-15 21:00:00+00:00
8032,,2019-01-16 21:00:00+00:00
8033,,2019-01-17 21:00:00+00:00
8034,,2019-01-18 21:00:00+00:00
8035,,2019-01-22 21:00:00+00:00
8036,,2019-01-23 21:00:00+00:00
8037,,2019-01-24 21:00:00+00:00
8038,,2019-01-25 21:00:00+00:00
8039,,2019-01-28 21:00:00+00:00
8040,,2019-01-29 21:00:00+00:00
8041,,2019-01-30 21:00:00+00:00
8042,,2019-01-31 21:00:00+00:00
8043,,2019-02-01 21:00:00+00:00
8044,,2019-02-04 21:00:00+00:00
8045,,2019-02-05 21:00:00+00:00
8046,,2019-02-06 21:00:00+00:00
8047,,2019-02-07 21:00:00+00:00
8048,,2019-02-08 21:00:00+00:00
8049,,2019-02-11 21:00:00+00:00
