,vol,Date_utc
7701,,2018-12-10 21:00:00+00:00
7702,,2018-12-11 21:00:00+00:00
7703,,2018-12-12 21:00:00+00:00
7704,,2018-12-13 21:00:00+00:00
7705,,2018-12-14 21:00:00+00:00
7706,,2018-12-17 21:00:00+00:00
7707,,2018-12-18 21:00:00+00:00
7708,,2018-12-19 21:00:00+00:00
7709,,2018-12-20 21:00:00+00:00
7710,,2018-12-21 21:00:00+00:00
7711,,2018-12-24 21:00:00+00:00
7712,,2018-12-26 21:00:00+00:00
7713,,2018-12-27 21:00:00+00:00
7714,,2018-12-28 21:00:00+00:00
7715,,2018-12-31 21:00:00+00:00
7716,,2019-01-02 21:00:00+00:00
7717,,2019-01-03 21:00:00+00:00
7718,,2019-01-04 21:00:00+00:00
7719,,2019-01-07 21:00:00+00:00
7720,,2019-01-08 21:00:00+00:00
7721,,2019-01-09 21:00:00+00:00
7722,,2019-01-10 21:00:00+00:00
7723,,2019-01-11 21:00:00+00:00
7724,,2019-01-14 21:00:00+00:00
7725,,2019-01-15 21:00:00+00:00
7726,,2019-01-16 21:00:00+00:00
7727,,2019-01-17 21:00:00+00:00
7728,,2019-01-18 21:00:00+00:00
7729,,2019-01-22 21:00:00+00:00
7730,,2019-01-23 21:00:00+00:00
7731,,2019-01-24 21:00:00+00:00
7732,,2019-01-25 21:00:00+00:00
7733,,2019-01-28 21:00:00+00:00
7734,,2019-01-29 21:00:00+00:00
7735,,2019-01-30 21:00:00+00:00
7736,,2019-01-31 21:00:00+00:00
7737,,2019-02-01 21:00:00+00:00
7738,,2019-02-04 21:00:00+00:00
7739,,2019-02-05 21:00:00+00:00
7740,,2019-02-06 21:00:00+00:00
7741,,2019-02-07 21:00:00+00:00
7742,,2019-02-08 21:00:00+00:00
7743,,2019-02-11 21:00:00+00:00
7744,,2019-02-12 21:00:00+00:00
7745,,2019-02-13 21:00:00+00:00
7746,,2019-02-14 21:00:00+00:00
7747,,2019-02-15 21:00:00+00:00
7748,,2019-02-19 21:00:00+00:00
7749,,2019-02-20 21:00:00+00:00
7750,,2019-02-21 21:00:00+00:00
7751,,2019-02-22 21:00:00+00:00
7752,,2019-02-25 21:00:00+00:00
7753,,2019-02-26 21:00:00+00:00
7754,,2019-02-27 21:00:00+00:00
7755,,2019-02-28 21:00:00+00:00
7756,,2019-03-01 21:00:00+00:00
7757,,2019-03-04 21:00:00+00:00
7758,,2019-03-05 21:00:00+00:00
7759,,2019-03-06 21:00:00+00:00
7760,,2019-03-07 21:00:00+00:00
7761,,2019-03-08 21:00:00+00:00
7762,,2019-03-11 20:00:00+00:00
7763,,2019-03-12 20:00:00+00:00
7764,,2019-03-13 20:00:00+00:00
7765,,2019-03-14 20:00:00+00:00
7766,,2019-03-15 20:00:00+00:00
7767,,2019-03-18 20:00:00+00:00
7768,,2019-03-19 20:00:00+00:00
7769,,2019-03-20 20:00:00+00:00
7770,,2019-03-21 20:00:00+00:00
7771,,2019-03-22 20:00:00+00:00
7772,,2019-03-25 20:00:00+00:00
7773,,2019-03-26 20:00:00+00:00
7774,,2019-03-27 20:00:00+00:00
7775,,2019-03-28 20:00:00+00:00
7776,,2019-03-29 20:00:00+00:00
7777,,2019-04-01 20:00:00+00:00
7778,,2019-04-02 20:00:00+00:00
7779,,2019-04-03 20:00:00+00:00
7780,,2019-04-04 20:00:00+00:00
7781,,2019-04-05 20:00:00+00:00
7782,,2019-04-08 20:00:00+00:00
7783,,2019-04-09 20:00:00+00:00
7784,,2019-04-10 20:00:00+00:00
