,vol,Date_utc
7940,,2015-07-21 20:00:00+00:00
7941,,2015-07-22 20:00:00+00:00
7942,,2015-07-23 20:00:00+00:00
7943,,2015-07-24 20:00:00+00:00
7944,,2015-07-27 20:00:00+00:00
7945,,2015-07-28 20:00:00+00:00
7946,,2015-07-29 20:00:00+00:00
7947,,2015-07-30 20:00:00+00:00
7948,,2015-07-31 20:00:00+00:00
7949,,2015-08-03 20:00:00+00:00
7950,,2015-08-04 20:00:00+00:00
7951,,2015-08-05 20:00:00+00:00
7952,,2015-08-06 20:00:00+00:00
7953,,2015-08-07 20:00:00+00:00
7954,,2015-08-10 20:00:00+00:00
7955,,2015-08-11 20:00:00+00:00
7956,,2015-08-12 20:00:00+00:00
7957,,2015-08-13 20:00:00+00:00
7958,,2015-08-14 20:00:00+00:00
7959,,2015-08-17 20:00:00+00:00
7960,,2015-08-18 20:00:00+00:00
7961,,2015-08-19 20:00:00+00:00
7962,,2015-08-20 20:00:00+00:00
7963,,2015-08-21 20:00:00+00:00
7964,,2015-08-24 20:00:00+00:00
7965,,2015-08-25 20:00:00+00:00
7966,,2015-08-26 20:00:00+00:00
7967,,2015-08-27 20:00:00+00:00
7968,,2015-08-28 20:00:00+00:00
7969,,2015-08-31 20:00:00+00:00
7970,,2015-09-01 20:00:00+00:00
7971,,2015-09-02 20:00:00+00:00
7972,,2015-09-03 20:00:00+00:00
7973,,2015-09-04 20:00:00+00:00
7974,,2015-09-08 20:00:00+00:00
7975,,2015-09-09 20:00:00+00:00
7976,,2015-09-10 20:00:00+00:00
7977,,2015-09-11 20:00:00+00:00
7978,,2015-09-14 20:00:00+00:00
7979,,2015-09-15 20:00:00+00:00
7980,,2015-09-16 20:00:00+00:00
7981,,2015-09-17 20:00:00+00:00
7982,,2015-09-18 20:00:00+00:00
7983,,2015-09-21 20:00:00+00:00
7984,,2015-09-22 20:00:00+00:00
7985,,2015-09-23 20:00:00+00:00
7986,,2015-09-24 20:00:00+00:00
7987,,2015-09-25 20:00:00+00:00
7988,,2015-09-28 20:00:00+00:00
7989,,2015-09-29 20:00:00+00:00
7990,,2015-09-30 20:00:00+00:00
7991,,2015-10-01 20:00:00+00:00
7992,,2015-10-02 20:00:00+00:00
7993,,2015-10-05 20:00:00+00:00
7994,,2015-10-06 20:00:00+00:00
7995,,2015-10-07 20:00:00+00:00
7996,,2015-10-08 20:00:00+00:00
7997,,2015-10-09 20:00:00+00:00
7998,,2015-10-12 20:00:00+00:00
7999,,2015-10-13 20:00:00+00:00
8000,,2015-10-14 20:00:00+00:00
8001,,2015-10-15 20:00:00+00:00
8002,,2015-10-16 20:00:00+00:00
8003,,2015-10-19 20:00:00+00:00
8004,,2015-10-20 20:00:00+00:00
8005,,2015-10-21 20:00:00+00:00
8006,,2015-10-22 20:00:00+00:00
8007,,2015-10-23 20:00:00+00:00
8008,,2015-10-26 20:00:00+00:00
8009,,2015-10-27 20:00:00+00:00
8010,,2015-10-28 20:00:00+00:00
8011,,2015-10-29 20:00:00+00:00
8012,,2015-10-30 20:00:00+00:00
8013,,2015-11-02 21:00:00+00:00
8014,,2015-11-03 21:00:00+00:00
8015,,2015-11-04 21:00:00+00:00
8016,,2015-11-05 21:00:00+00:00
8017,,2015-11-06 21:00:00+00:00
8018,,2015-11-09 21:00:00+00:00
8019,,2015-11-10 21:00:00+00:00
8020,,2015-11-11 21:00:00+00:00
8021,,2015-11-12 21:00:00+00:00
8022,,2015-11-13 21:00:00+00:00
8023,,2015-11-16 21:00:00+00:00
8024,,2015-11-17 21:00:00+00:00
8025,,2015-11-18 21:00:00+00:00
8026,,2015-11-19 21:00:00+00:00
8027,,2015-11-20 21:00:00+00:00
8028,,2015-11-23 21:00:00+00:00
8029,,2015-11-24 21:00:00+00:00
8030,,2015-11-25 21:00:00+00:00
8031,,2015-11-27 21:00:00+00:00
8032,,2015-11-30 21:00:00+00:00
8033,,2015-12-01 21:00:00+00:00
8034,,2015-12-02 21:00:00+00:00
8035,,2015-12-03 21:00:00+00:00
8036,,2015-12-04 21:00:00+00:00
8037,,2015-12-07 21:00:00+00:00
8038,,2015-12-08 21:00:00+00:00
8039,,2015-12-09 21:00:00+00:00
8040,,2015-12-10 21:00:00+00:00
8041,,2015-12-11 21:00:00+00:00
8042,,2015-12-14 21:00:00+00:00
8043,,2015-12-15 21:00:00+00:00
8044,,2015-12-16 21:00:00+00:00
8045,,2015-12-17 21:00:00+00:00
8046,,2015-12-18 21:00:00+00:00
8047,,2015-12-21 21:00:00+00:00
8048,,2015-12-22 21:00:00+00:00
8049,,2015-12-23 21:00:00+00:00
8050,,2015-12-24 21:00:00+00:00
8051,,2015-12-28 21:00:00+00:00
8052,,2015-12-29 21:00:00+00:00
8053,,2015-12-30 21:00:00+00:00
8054,,2015-12-31 21:00:00+00:00
8055,,2016-01-04 21:00:00+00:00
8056,,2016-01-05 21:00:00+00:00
8057,,2016-01-06 21:00:00+00:00
8058,,2016-01-07 21:00:00+00:00
8059,,2016-01-08 21:00:00+00:00
8060,,2016-01-11 21:00:00+00:00
8061,,2016-01-12 21:00:00+00:00
8062,,2016-01-13 21:00:00+00:00
8063,,2016-01-14 21:00:00+00:00
8064,,2016-01-15 21:00:00+00:00
8065,,2016-01-19 21:00:00+00:00
8066,,2016-01-20 21:00:00+00:00
8067,,2016-01-21 21:00:00+00:00
8068,,2016-01-22 21:00:00+00:00
8069,,2016-01-25 21:00:00+00:00
8070,,2016-01-26 21:00:00+00:00
8071,,2016-01-27 21:00:00+00:00
8072,,2016-01-28 21:00:00+00:00
8073,,2016-01-29 21:00:00+00:00
